Year	site	total	Clethrionomys.gapperi	Glaucomys.volans	Tamias.striatus
1979	pdm	274	153	10	111
1980	pdm	1601	682	62	857
1981	pdm	2094	1125	117	852
1982	pdm	1777	732	116	929
1983	pdm	989	191	60	738
1984	pdm	616	147	41	428
1985	pdm	591	189	31	371
1986	pdm	536	218	40	278
1987	pdm	857	450	47	360
1988	pdm	490	199	45	246
1989	pdm	375	138	14	223
1990	pdm	571	284	65	222
1991	pdm	236	140	30	66
1992	pdm	477	244	32	201
1993	pdm	702	378	42	282
1994	pdm	932	576	60	296
1995	pdm	548	211	90	247
1996	pdm	701	295	63	343
1997	pdm	1479	559	289	631
1998	pdm	524	192	136	196
1999	pdm	666	114	94	458
