Year	site	total	Clethrionomys.gapperi	Glaucomys.volans	Tamias.striatus
1979	pdm	28223.90116	9383.20128	1293.510782	17547.18909
1980	pdm	186868.9242	43086.86403	8317.330392	135464.7298
1981	pdm	225365.1829	72693.73052	15312.94259	137358.5098
1982	pdm	207504.4488	44877.42436	15823.51272	146803.5118
1983	pdm	140764.0541	12842.18416	7648.151917	120273.718
1984	pdm	79868.73249	9923.172063	4907.827843	65037.73258
1985	pdm	76268.48639	12815.04803	4175.749296	59277.68906
1986	pdm	62617.47205	13614.1995	5194.255864	43809.01668
1987	pdm	89897.057	28101.14999	6174.926841	55620.98017
1988	pdm	56906.28542	12218.20937	6092.948765	38595.12729
1989	pdm	44054.76506	8284.311377	1871.097438	33899.35625
1990	pdm	62124.33074	19020.58791	8683.65751	34420.08532
1991	pdm	23048.44958	9034.899956	3875.738823	10137.8108
1992	pdm	48273.5225	14513.82389	3860.392891	29899.30572
1993	pdm	76590.47733	25051.45586	5481.216652	46057.80482
1994	pdm	89860.4949	37121.33557	7248.261776	45490.89755
1995	pdm	65046.23291	13482.19633	11761.1183	39802.91828
1996	pdm	79366.34421	16894.1881	8154.256468	54317.89965
1997	pdm	169716.2319	32947.77782	37692.55312	99075.901
1998	pdm	60282.27718	11721.4646	18226.91473	30333.89786
1999	pdm	94830.51791	7736.293654	13271.63465	73822.5896
