Year	site	total	Neozapus.insignis	Peromyscus.leucopus	Peromyscus.maniculatus
1979	pdm	774	21	352	401
1980	pdm	2602	38	973	1591
1981	pdm	2038	55	101	1882
1982	pdm	1609	87	109	1413
1983	pdm	1096	78	187	831
1984	pdm	1118	47	219	852
1985	pdm	929	16	430	483
1986	pdm	504	8	148	348
1987	pdm	869	15	357	497
1988	pdm	650	12	250	388
1989	pdm	541	12	271	258
1990	pdm	801	14	511	276
1991	pdm	338	26	133	179
1992	pdm	879	48	541	290
1993	pdm	1310	80	757	473
1994	pdm	954	98	341	515
1995	pdm	545	81	213	251
1996	pdm	851	42	295	514
1997	pdm	1062	92	338	632
1998	pdm	555	79	126	350
1999	pdm	984	49	88	847
