Year	site	total	Neozapus.insignis	Peromyscus.leucopus	Peromyscus.maniculatus
1979	pdm	36861.77393	1149.431816	15434.39249	20277.94962
1980	pdm	125942.1505	2148.689848	46485.69568	77307.76501
1981	pdm	100954.3544	3057.964745	5786.201165	92110.18844
1982	pdm	74449.96188	4459.512726	5691.498165	64298.95099
1983	pdm	50136.40422	4188.538485	8901.416346	37046.44939
1984	pdm	53217.97983	2277.202339	10592.46458	40348.31292
1985	pdm	46605.23739	845.228425	22752.47481	23007.53416
1986	pdm	24538.79896	435.2451353	7682.301465	16421.25236
1987	pdm	42826.29674	772.70127	18402.2426	23651.35287
1988	pdm	32375.47267	603.099981	13355.50038	18416.8723
1989	pdm	27576.8602	686.0744062	14294.29334	12596.49246
1990	pdm	42991.54217	852.4385354	28153.42423	13985.6794
1991	pdm	17190.47241	1414.215878	6925.683904	8850.572628
1992	pdm	42776.2369	2401.502133	26771.50667	13603.22809
1993	pdm	67447.18216	4461.229878	39619.25989	23366.69239
1994	pdm	48608.52491	5099.525967	17763.51716	25745.48179
1995	pdm	26724.68389	4176.359699	10936.34538	11611.97881
1996	pdm	39677.92982	2108.797421	14262.69008	23306.44232
1997	pdm	50708.01824	4646.497849	16695.87593	29365.64446
1998	pdm	26825.2491	4115.377074	5803.316185	16906.55584
1999	pdm	46121.75006	2623.291117	4136.746277	39361.71267
