Year	site	total	Glaucomys.volans	Tamias.striatus
1979	pdm	18840.69988	1293.510782	17547.18909
1980	pdm	143782.0602	8317.330392	135464.7298
1981	pdm	152671.4524	15312.94259	137358.5098
1982	pdm	162627.0245	15823.51272	146803.5118
1983	pdm	127921.87	7648.151917	120273.718
1984	pdm	69945.56042	4907.827843	65037.73258
1985	pdm	63453.43836	4175.749296	59277.68906
1986	pdm	49003.27254	5194.255864	43809.01668
1987	pdm	61795.90701	6174.926841	55620.98017
1988	pdm	44688.07605	6092.948765	38595.12729
1989	pdm	35770.45369	1871.097438	33899.35625
1990	pdm	43103.74283	8683.65751	34420.08532
1991	pdm	14013.54962	3875.738823	10137.8108
1992	pdm	33759.69861	3860.392891	29899.30572
1993	pdm	51539.02147	5481.216652	46057.80482
1994	pdm	52739.15933	7248.261776	45490.89755
1995	pdm	51564.03659	11761.1183	39802.91828
1996	pdm	62472.15612	8154.256468	54317.89965
1997	pdm	136768.4541	37692.55312	99075.901
1998	pdm	48560.81259	18226.91473	30333.89786
1999	pdm	87094.22425	13271.63465	73822.5896
