Year	site	total	Badger	Black.Bear	Brown.Bear	Bobcat	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink	Cougar
1919	BC	-99	57	1128	75	-99	1455	439	980	-99	730	9797	2
1920	BC	-99	24	1659	74	-99	1817	635	238	910	1006	8177	15
1921	BC	-99	42	2588	89	-99	4547	653	2618	1419	2103	20300	38
1922	BC	-99	193	1700	54	-99	3776	562	243	1784	2967	17737	12
1923	BC	-99	14	1029	17	-99	3333	633	23	2373	4881	18950	4
1924	BC	-99	15	1548	41	-99	7236	654	5	4191	7638	24536	19
1925	BC	-99	12	940	27	-99	6881	888	10	4118	4667	23749	9
1926	BC	-99	194	900	37	-99	20192	1233	26	5483	5240	13831	372
1927	BC	-99	286	1552	25	-99	7257	926	0	2465	3559	13900	444
1928	BC	-99	351	876	36	-99	4833	656	2	2059	2225	10285	530
1929	BC	-99	233	997	14	-99	4369	540	0	912	1564	9069	491
1930	BC	-99	0	1105	-99	-99	1544	681	0	1311	1584	8995	491
1931	BC	-99	0	641	-99	-99	2864	66	0	1287	1599	10528	701
1932	BC	-99	0	515	-99	-99	170	562	185	472	1797	16259	-99
1933	BC	-99	10	321	-99	-99	413	721	188	2366	2285	46284	-99
1934	BC	-99	0	149	-99	-99	682	763	91	3452	3531	20462	-99
1935	BC	-99	2	120	-99	-99	1950	759	26	4737	3551	18816	-99
1936	BC	-99	0	288	-99	-99	1400	668	160	4771	3564	19363	-99
1937	BC	-99	0	466	-99	-99	2094	520	243	2338	1752	17842	-99
1938	BC	-99	17	549	-99	-99	1971	590	70	1330	1388	23794	-99
1939	BC	-99	47	239	-99	-99	2229	504	100	1602	1070	33965	-99
1940	BC	-99	40	117	-99	-99	-99	621	69	1078	1550	37298	-99
1941	BC	-99	51	92	-99	-99	-99	1297	226	2781	1135	31471	-99
1942	BC	-99	11	110	-99	-99	1492	406	47	4488	-99	43442	-99
1943	BC	-99	41	244	-99	-99	1210	700	-99	8372	2625	21296	-99
1944	BC	-99	8	147	-99	-99	1255	759	-99	9739	3332	22998	-99
1945	BC	-99	32	150	-99	-99	87	704	-99	4637	1272	16531	-99
1946	BC	-99	20	239	-99	-99	-99	946	-99	2442	1692	14607	-99
1947	BC	-99	3	164	-99	-99	-99	681	-99	956	161	12462	-99
1948	BC	-99	2	184	-99	-99	-99	564	-99	388	831	10797	-99
1949	BC	-99	0	163	-99	-99	-99	470	-99	303	515	12417	-99
1950	BC	-99	0	73	-99	-99	-99	911	-99	454	1399	18911	-99
1951	BC	-99	0	67	-99	-99	-99	578	-99	207	870	12910	-99
1952	BC	-99	1	99	-99	-99	-99	744	-99	376	2126	14838	-99
1953	BC	-99	0	-99	-99	-99	-99	668	-99	158	1517	15466	-99
1954	BC	-99	0	-99	-99	-99	-99	664	-99	102	3132	13436	-99
1955	BC	-99	0	-99	-99	-99	-99	618	-99	59	2239	13226	-99
1956	BC	-99	0	-99	-99	-99	-99	459	-99	43	1608	9064	-99
1957	BC	-99	3	-99	-99	-99	-99	469	-99	808	1569	6707	-99
1958	BC	-99	0	-99	-99	-99	-99	344	-99	45	1304	10912	-99
1959	BC	-99	3	-99	-99	-99	-99	636	-99	187	4058	18208	-99
1960	BC	-99	4	-99	-99	-99	-99	607	-99	118	3463	14469	-99
1961	BC	-99	1	-99	-99	-99	-99	503	-99	84	4797	13336	-99
1962	BC	-99	0	-99	-99	130	1919	605	-99	893	12570	11896	-99
1963	BC	-99	4	-99	-99	38	1060	849	-99	159	7225	10629	-99
1964	BC	-99	2	-99	-99	0	-99	1058	-99	222	4660	8375	-99
1965	BC	-99	0	351	38	394	362	657	-99	215	2195	5628	-99
1966	BC	-99	4	250	212	45	522	855	-99	375	2264	7125	-99
1967	BC	-99	1	210	8	172	291	750	-99	284	4737	5918	-99
1968	BC	-99	0	313	6	171	714	599	-99	323	1022	3410	-99
1969	BC	-99	9	257	26	357	851	863	-99	717	1497	4440	-99
1970	BC	-99	8	2742	448	349	580	900	-99	384	1927	4587	-99
1971	BC	-99	0	3965	396	213	1052	786	-99	352	4084	3215	-99
1972	BC	-99	5	3354	385	316	2586	1292	-99	660	8641	3726	35
1973	BC	-99	10	4023	397	342	2964	1747	-99	875	8719	3433	40
1974	BC	-99	0	2694	300	169	1725	1278	-99	596	5190	2527	33
1975	BC	-99	0	2846	255	221	2905	1043	-99	621	3084	2494	58
1976	BC	-99	0	3434	243	205	4689	784	-99	557	1294	4755	0
1977	BC	-99	0	4032	297	289	4656	657	-99	654	1119	3455	34
1978	BC	-99	0	3468	330	240	5290	472	-99	571	1577	5266	39
1979	BC	-99	0	3265	342	140	4691	570	-99	634	2848	7686	16
1980	BC	-99	0	6655	384	130	2949	551	-99	590	3696	5961	19
1981	BC	-99	0	4107	411	231	4018	635	-99	609	5463	4086	21
