Year	site	total	Badger	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	alberta	-99	761	8881	218	94	-99	1045	9984
1920	alberta	19432	219	5904	131	43	2165	2027	8943
1921	alberta	31903	496	13483	66	11	3700	3620	10527
1922	alberta	45941	1102	14122	77	354	9535	5788	14963
1923	alberta	79824	1778	32315	83	48	17932	7374	20294
1924	alberta	88006	3008	42665	78	48	23213	7066	11928
1925	alberta	96307	5588	56639	191	53	19070	7662	7104
1926	alberta	66851	10582	42015	90	34	8496	3400	2234
1927	alberta	43362	15919	20150	52	35	2647	2851	1708
1928	alberta	49082	17466	24315	58	5	2899	1667	2672
1929	alberta	27892	6063	14871	25	11	3356	1109	2457
1930	alberta	28718	5689	10486	17	64	7690	1537	3235
1931	alberta	28891	2253	10999	22	278	8337	1517	5485
1932	alberta	35895	1068	11644	4	101	12532	1987	8559
1933	alberta	47876	1320	15556	21	105	19385	2112	9377
1934	alberta	64403	1101	28476	48	117	22895	2492	9274
1935	alberta	53734	130	25276	61	33	13789	2300	12145
1936	alberta	38785	35	19464	37	80	6242	1560	11367
1937	alberta	34816	76	15919	17	92	3997	822	13893
1938	alberta	53624	58	15259	0	100	7254	734	30219
1939	alberta	82248	89	13786	0	334	7223	1028	59788
1940	alberta	105177	3150	18763	0	0	7534	760	74970
1941	alberta	123955	5004	18763	0	227	23099	772	76090
1942	alberta	-99	3227	23678	16	21	47624	-99	111127
1943	alberta	100243	4031	30886	15	0	48446	1468	15397
1944	alberta	47816	2143	19385	10	0	16587	1384	8307
1945	alberta	27169	1107	13669	0	38	9024	553	2778
1946	alberta	17209	812	9245	0	18	2512	274	4348
1947	alberta	14195	376	10512	0	44	850	110	2303
1948	alberta	11657	73	2926	1020	26	794	231	6587
1949	alberta	9356	74	5152	9	220	1006	366	2529
1950	alberta	22962	134	13666	0	46	3037	2020	4059
1951	alberta	10253	23	4902	0	0	1649	813	2866
1952	alberta	14415	39	4554	0	27	1189	3683	4923
1953	alberta	10817	14	2685	0	23	1024	2965	4106
1954	alberta	9448	24	2394	0	115	391	3011	3513
1955	alberta	7110	9	1680	178	56	106	1184	3897
1956	alberta	6489	9	1383	196	108	133	1729	2931
1957	alberta	7630	380	1705	197	29	212	654	4453
1958	alberta	15799	60	1114	154	32	5685	1676	7078
1959	alberta	22045	309	3574	223	14	567	7675	9683
1960	alberta	24303	68	2655	246	28	354	11575	9377
1961	alberta	29422	27	3146	125	40	588	17764	7732
1962	alberta	30487	64	5108	484	31	524	13884	10392
1963	alberta	29269	59	9897	374	21	356	9145	9417
1964	alberta	27755	78	14876	634	22	551	6495	5099
1965	alberta	20234	249	12885	304	12	246	1638	4900
1966	alberta	11276	172	5578	363	47	215	1098	3803
1967	alberta	24369	457	12173	425	25	213	1510	9566
1968	alberta	36569	265	17829	487	13	390	3259	14326
1969	alberta	35960	2298	16654	541	25	803	8666	6973
1970	alberta	37179	589	12376	571	33	718	15397	7495
1971	alberta	52674	587	18416	699	23	1776	22776	8397
1972	alberta	73681	2562	34413	3146	63	1781	18084	13632
1973	alberta	64371	1931	44784	2266	150	2189	8058	4993
1974	alberta	34712	1869	19614	2712	90	1181	3445	5801
1975	alberta	46861	2047	30248	2412	212	3588	1829	6525
1976	alberta	55339	1795	29372	2659	90	2546	3046	15831
1977	alberta	57298	1716	34856	1728	91	2015	3767	13125
1978	alberta	74893	2475	38426	1746	0	2939	8914	20393
1979	alberta	85165	2469	35135	2882	0	3753	12581	28345
1980	alberta	67689	1592	20986	2859	39	3085	12334	26794
1981	alberta	66747	979	31652	4280	53	4400	13659	11724
