Year	site	total	Badger	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	alberta	-99	7610	123445.9	763	300.8	-99	9927.5	8136.96
1920	alberta	128933.245	2190	82065.6	458.5	137.6	17536.5	19256.5	7288.545
1921	alberta	265579.405	4960	187413.7	231	35.2	29970	34390	8579.505
1922	alberta	353132.445	11020	196295.8	269.5	1132.8	77233.5	54986	12194.845
1923	alberta	699244.41	17780	449178.5	290.5	153.6	145249.2	70053	16539.61
1924	alberta	888423.72	30080	593043.5	273	153.6	188025.3	67127	9721.32
1925	alberta	1077045.96	55880	787282.1	668.5	169.6	154467	72789	5789.76
1926	alberta	793190.61	105820	584008.5	315	108.8	68817.6	32300	1820.71
1927	alberta	489486.22	159190	280085	182	112	21440.7	27084.5	1392.02
1928	alberta	554353.58	174660	337978.5	203	16	23481.9	15836.5	2177.68
1929	alberta	307181.155	60630	206706.9	87.5	35.2	27183.6	10535.5	2002.455
1930	alberta	282436.725	56890	145755.4	59.5	204.8	62289	14601.5	2636.525
1931	alberta	262794.175	22530	152886.1	77	889.6	67529.7	14411.5	4470.275
1932	alberta	300230.085	10680	161851.6	14	323.2	101509.2	18876.5	6975.585
1933	alberta	414562.655	13200	216228.4	73.5	336	157018.5	20064	7642.255
1934	alberta	624050.61	11010	395816.4	168	374.4	185449.5	23674	7558.31
1935	alberta	496394.575	1300	351336.4	213.5	105.6	111690.9	21850	9898.175
1936	alberta	345929.405	350	270549.6	129.5	256	50560.2	14820	9264.105
1937	alberta	273895.495	760	221274.1	59.5	294.4	32375.7	7809	11322.795
1938	alberta	303358.985	580	212100.1	0	320	58757.4	6973	24628.485
1939	alberta	310583.72	890	191625.4	0	1068.8	58506.3	9766	48727.22
1940	alberta	421651.65	31500	260805.7	0	0	61025.4	7220	61100.55
1941	alberta	568021.35	50040	260805.7	0	726.4	187101.9	7334	62013.35
1942	alberta	-99	32270	329124.2	56	67.2	385754.4	-99	90568.505
1943	alberta	888585.055	40310	429315.4	52.5	0	392412.6	13946	12548.555
1944	alberta	445189.405	21430	269451.5	35	0	134354.7	13148	6770.205
1945	alberta	281802.67	11070	189999.1	0	121.6	73094.4	5253.5	2264.07
1946	alberta	163176.92	8120	128505.5	0	57.6	20347.2	2603	3543.62
1947	alberta	159824.545	3760	146116.8	0	140.8	6885	1045	1876.945
1948	alberta	59048.905	730	40671.4	3570	83.2	6431.4	2194.5	5368.405
1949	alberta	86775.035	740	71612.8	31.5	704	8148.6	3477	2061.135
1950	alberta	238542.385	1340	189957.4	0	147.2	24599.7	19190	3308.085
1951	alberta	91783.99	230	68137.8	0	0	13356.9	7723.5	2335.79
1952	alberta	112408.645	390	63300.6	0	86.4	9630.9	34988.5	4012.245
1953	alberta	77343.39	140	37321.5	0	73.6	8294.4	28167.5	3346.39
1954	alberta	68519.295	240	33276.6	0	368	3167.1	28604.5	2863.095
1955	alberta	39526.855	90	23352	623	179.2	858.6	11248	3176.055
1956	alberta	40236.865	90	19223.7	686	345.6	1077.3	16425.5	2388.765
1957	alberta	39841.195	3800	23699.5	689.5	92.8	1717.2	6213	3629.195
1958	alberta	84465.07	600	15484.6	539	102.4	46048.5	15922	5768.57
1959	alberta	138990.745	3090	49678.6	780.5	44.8	4592.7	72912.5	7891.645
1960	alberta	159007.255	680	36904.5	861	89.6	2867.4	109962.5	7642.255
1961	alberta	224387.28	270	43729.4	437.5	128	4762.8	168758	6301.58
1962	alberta	218046.28	640	71001.2	1694	99.2	4244.4	131898	8469.48
1963	alberta	236970.455	590	137568.3	1309	67.2	2883.6	86877.5	7674.855
1964	alberta	280167.085	780	206776.4	2219	70.4	4463.1	61702.5	4155.685
1965	alberta	204241	2490	179101.5	1064	38.4	1992.6	15561	3993.5
1966	alberta	95947.045	1720	77534.2	1270.5	150.4	1741.5	10431	3099.445
1967	alberta	199208.79	4570	169204.7	1487.5	80	1725.3	14345	7796.29
1968	alberta	298014.39	2650	247823.1	1704.5	41.6	3159	30960.5	11675.69
1969	alberta	350958.395	22980	231490.6	1893.5	80	6504.3	82327	5682.995
1970	alberta	338216.225	5890	172026.4	1998.5	105.6	5815.8	146271.5	6108.425
1971	alberta	501973.655	5870	255982.4	2446.5	73.6	14385.6	216372	6843.555
1972	alberta	712507.48	25620	478340.7	11011	201.6	14426.1	171798	11110.08
1973	alberta	748569.795	19310	622497.6	7931	480	17730.9	76551	4069.295
1974	alberta	348126.015	18690	272634.6	9492	288	9566.1	32727.5	4727.815
1975	alberta	501793.775	20470	420447.2	8442	678.4	29062.8	17375.5	5317.875
1976	alberta	498277.165	17950	408270.8	9306.5	288	20622.6	28937	12902.265
1977	alberta	570802.475	17160	484498.4	6048	291.2	16321.5	35786.5	10696.875
1978	alberta	690091.595	24750	534121.4	6111	0	23805.9	84683	16620.295
1979	alberta	696173.475	24690	488376.5	10087	0	30399.3	119519.5	23101.175
1980	alberta	481755.31	15920	291705.4	10006.5	124.8	24988.5	117173	21837.11
1981	alberta	639857.96	9790	439962.8	14980	169.6	35640	129760.5	9555.06
