Year	site	total	Badger	Black.Bear	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	manitoba	-99	2217	1061	-99	1386	1457	-99	1295	16779
1920	manitoba	-99	226	416	-99	317	88	1538	991	14120
1921	manitoba	-99	250	482	-99	529	2673	2914	1847	292331
1922	manitoba	-99	404	414	-99	474	3202	5636	2314	19531
1923	manitoba	-99	1312	965	-99	648	1083	13172	4939	28120
1924	manitoba	-99	1266	648	-99	599	7127	13937	2163	13006
1925	manitoba	-99	861	472	-99	954	885	15433	2399	16617
1926	manitoba	-99	1364	392	-99	665	4572	6545	1421	10748
1927	manitoba	-99	1476	443	-99	460	655	4962	744	9867
1928	manitoba	-99	1361	598	-99	24	930	3303	612	11361
1929	manitoba	-99	535	336	-99	206	771	4369	629	10826
1930	manitoba	-99	465	284	-99	160	2512	4399	685	12423
1931	manitoba	-99	226	140	-99	284	1623	7278	749	16458
1932	manitoba	-99	22	108	-99	289	1181	14242	1230	22443
1933	manitoba	-99	31	122	-99	521	3340	26232	1992	32208
1934	manitoba	-99	34	119	-99	682	884	24456	2023	23443
1935	manitoba	-99	7	135	-99	692	378	12518	1342	20817
1936	manitoba	-99	25	178	-99	461	243	10523	902	20583
1937	manitoba	-99	12	123	-99	250	322	9521	671	17742
1938	manitoba	-99	15	68	-99	213	553	4604	517	34076
1939	manitoba	-99	354	106	-99	157	319	7320	426	60312
1940	manitoba	-99	962	95	-99	155	467	12683	444	73794
1941	manitoba	-99	778	88	-99	227	1235	29048	654	52694
1942	manitoba	-99	673	99	-99	315	400	29608	-99	85756
1943	manitoba	-99	957	167	-99	466	357	29343	514	20121
1944	manitoba	44964	649	131	6502	434	322	19700	342	16884
1945	manitoba	30073	441	80	3658	336	215	12332	170	12841
1946	manitoba	28343	263	43	2207	38	1255	8780	27	15730
1947	manitoba	26419	115	34	2354	55	409	4461	27	18964
1948	manitoba	28619	51	43	1699	9	54	3758	47	22958
1949	manitoba	33804	28	61	1692	46	68	2546	200	29163
1950	manitoba	35681	69	37	3266	216	287	5505	1089	25212
1951	manitoba	35573	43	53	1919	810	482	3006	1170	28090
1952	manitoba	34217	43	76	1519	482	1236	2046	1204	27611
1953	manitoba	23134	15	54	938	739	483	1603	911	18391
1954	manitoba	22508	20	31	1033	1189	549	1368	748	17570
1955	manitoba	20019	35	53	943	566	666	1403	645	15708
1956	manitoba	29586	19	144	929	349	117	444	539	27045
1957	manitoba	43662	46	305	1348	274	719	1372	1547	38051
1958	manitoba	33816	37	209	884	300	1115	869	2867	27535
1959	manitoba	40665	277	120	1948	351	210	2458	7798	27503
1960	manitoba	41887	104	129	1685	249	466	2132	6678	30444
1961	manitoba	35100	130	120	1410	252	2856	2331	5213	22788
1962	manitoba	27681	57	78	2023	402	141	1894	4580	18506
1963	manitoba	28204	72	70	3163	738	403	3782	3465	16511
1964	manitoba	29379	85	194	3649	655	1779	4505	1187	17325
1965	manitoba	27107	143	204	3234	799	174	5713	1170	15670
1966	manitoba	31576	307	193	3022	338	375	6341	1091	19909
1967	manitoba	27613	177	213	1565	145	712	4059	1205	19537
1968	manitoba	50084	281	475	4519	299	136	7546	3856	32972
1969	manitoba	46396	411	588	5614	397	30	10790	6879	21687
1970	manitoba	29544	315	346	5240	348	24	7468	6203	9600
1971	manitoba	40441	409	426	9445	528	163	11475	7309	10686
1972	manitoba	56590	557	629	14012	1848	63	14837	4481	20163
1973	manitoba	44361	751	605	13445	1238	61	15385	1567	11309
1974	manitoba	36484	601	458	9918	1187	617	10439	807	12457
1975	manitoba	34758	727	453	9568	926	281	10034	768	12001
1976	manitoba	50045	1461	440	11805	1228	1053	10362	1497	22199
1977	manitoba	42161	1022	444	7059	1215	627	8818	3437	19539
1978	manitoba	48576	1405	585	7651	1561	173	11589	5328	20284
1979	manitoba	53423	1132	434	6219	2864	980	11878	5047	24869
1980	manitoba	44125	462	507	4995	3043	605	10827	3965	19721
1981	manitoba	45782	520	373	7438	3121	106	14925	4347	14952
