Year	site	total	BlackBear	Bobcat	Fisher	Redfox	Mink
1919	NB	-99	134	-99	143	-99	2433
1920	NB	2977	111	251	48	668	1899
1921	NB	6373	207	587	123	1813	3643
1922	NB	5511	153	618	36	2404	2300
1923	NB	8217	82	1488	56	3321	3270
1924	NB	9250	192	2154	67	4014	2823
1925	NB	8863	140	2055	88	3991	2589
1926	NB	9649	94	2083	68	4800	2604
1927	NB	5735	169	931	23	2416	2196
1928	NB	4765	198	770	35	2056	1706
1929	NB	3666	97	568	25	920	2056
1930	NB	4787	34	242	33	1547	2931
1931	NB	6812	51	608	27	1083	5043
1932	NB	-99	-99	850	27	2044	5132
1933	NB	8942	7	1138	44	2018	5735
1934	NB	6574	2	1505	63	1947	3057
1935	NB	5146	9	1288	85	1856	1908
1936	NB	-99	-99	730	53	1756	3115
1937	NB	33764	6	624	41	27569	5524
1938	NB	43925	4	599	19	34949	8354
1939	NB	47137	10	638	20	33327	13142
1940	NB	32887	1	570	24	20396	11896
1941	NB	27690	20	932	32	15777	10929
1942	NB	24473	12	962	36	13695	9768
1943	NB	8403	2	920	61	4871	2549
1944	NB	9241	1129	1076	45	4009	2982
1945	NB	7156	13	680	0	3049	3414
1946	NB	-99	7	713	-99	2230	1634
1947	NB	-99	2	785	-99	1586	1763
1948	NB	-99	5	64	-99	1559	2611
1949	NB	-99	-99	380	-99	800	2100
1950	NB	-99	-99	226	-99	746	1421
1951	NB	-99	-99	301	-99	705	1206
1952	NB	-99	-99	196	-99	570	1553
1953	NB	-99	-99	208	-99	261	2197
1954	NB	-99	-99	143	-99	144	1282
1955	NB	-99	-99	1145	0	214	1818
1956	NB	-99	-99	339	0	0	2463
1957	NB	-99	-99	229	0	243	1643
1958	NB	-99	-99	366	0	239	1464
1959	NB	-99	-99	480	0	576	1011
1960	NB	-99	-99	678	0	724	1304
1961	NB	2428	10	375	0	746	1297
1962	NB	1803	30	137	0	301	1335
1963	NB	3201	76	327	0	536	2262
1964	NB	5765	261	863	176	1410	3055
1965	NB	5228	130	1254	147	1064	2633
1966	NB	5230	122	1628	158	1006	2316
1967	NB	2347	36	506	127	377	1301
1968	NB	3987	47	1280	128	723	1809
1969	NB	5424	19	1616	423	1074	2292
1970	NB	3213	0	1086	191	708	1228
1971	NB	3905	0	1293	187	1043	1382
1972	NB	5255	610	1323	202	1197	1923
1973	NB	6640	0	2130	350	2545	1615
1974	NB	6065	128	1060	146	2807	1924
1975	NB	6716	702	752	172	3354	1736
1976	NB	6859	17	675	127	4051	1989
1977	NB	10810	77	889	252	6214	3378
1978	NB	9319	862	648	211	5742	1856
1979	NB	12817	910	990	306	7320	3291
1980	NB	10824	87	406	104	6136	4091
1981	NB	7106	723	578	120	3737	1948
