Year	site	total	Black.Bear	Brown.Bear	Polar.Bear	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	NWT	-99	545	10	127	107	46	10908	-99	367	5401
1920	NWT	24614	450	7	208	5	56	13846	1512	196	8334
1921	NWT	-99	370	6	341	-99	31	25815	1656	476	8667
1922	NWT	-99	442	-99	258	-99	16	35095	2289	575	10248
1923	NWT	-99	289	-99	344	-99	24	17844	2499	1300	15703
1924	NWT	-99	331	-99	391	17	46	30775	6554	2444	10045
1925	NWT	44506	231	10	325	119	88	24629	5136	4552	9416
1926	NWT	55463	253	7	202	287	179	41046	5343	3687	4459
1927	NWT	30651	261	1	372	444	97	19209	3592	3101	3574
1928	NWT	26413	224	20	287	59	100	15361	3480	1500	5382
1929	NWT	43430	162	12	308	17	72	36013	2434	776	3636
1930	NWT	70778	141	1	248	63	230	59227	3302	1369	6197
1931	NWT	60173	52	4	118	24	5	41807	4169	1664	12330
1932	NWT	56794	147	8	63	77	18	25783	9166	2817	18715
1933	NWT	86709	70	1	15	44	21	52747	12745	4395	16671
1934	NWT	87561	66	10	39	133	24	53044	17282	5829	11134
1935	NWT	50346	47	9	44	165	2	26064	14158	4391	5466
1936	NWT	36960	76	2	46	94	136	20040	9324	1909	5333
1937	NWT	63494	88	2	140	54	22	49754	8748	981	3705
1938	NWT	-99	76	-99	109	44	8	43185	6738	1116	6531
1939	NWT	50970	90	2	148	62	9	30649	7543	1628	10839
1940	NWT	73098	101	1	101	31	6	46798	9487	1742	14831
1941	NWT	-99	101	-99	71	39	6	51447	10699	1626	9476
1942	NWT	-99	89	-99	-99	22	2	60920	11972	-99	7601
1943	NWT	-99	47	-99	84	25	0	28550	12594	1803	7778
1944	NWT	-99	60	-99	62	38	10	16900	6995	1774	4019
1945	NWT	-99	17	-99	193	48	4	21057	10297	1701	6348
1946	NWT	-99	35	-99	141	25	12	58406	8473	1065	4200
1947	NWT	-99	25	-99	227	5	8	53794	3677	1070	3721
1948	NWT	-99	14	-99	410	3	10	31568	2261	799	4017
1949	NWT	-99	18	-99	277	-99	15	10123	1343	332	4215
1950	NWT	-99	13	-99	357	2	11	40116	2313	1767	6966
1951	NWT	-99	14	-99	406	1	11	50469	2367	1637	7381
1952	NWT	-99	6	-99	433	-99	30	36845	856	1575	5395
1953	NWT	-99	-99	-99	437	-99	18	27568	700	1244	4477
1954	NWT	-99	8	-99	57	-99	21	61057	993	1382	3463
1955	NWT	-99	5	-99	420	-99	5	27938	343	602	3174
1956	NWT	-99	4	-99	416	-99	8	24200	355	616	2697
1957	NWT	-99	7	-99	525	-99	3	29164	373	617	2940
1958	NWT	-99	15	-99	382	-99	7	23172	488	544	4947
1959	NWT	-99	15	-99	509	-99	8	10584	731	2496	9453
1960	NWT	-99	12	-99	539	-99	3	38705	434	3544	10048
1961	NWT	-99	43	-99	449	-99	15	32742	920	4959	8024
1962	NWT	-99	22	-99	449	19	18	9207	275	4756	9830
1963	NWT	-99	29	-99	447	36	29	30064	836	2670	5839
1964	NWT	-99	123	-99	547	5	14	27166	464	767	4374
1965	NWT	-99	138	-99	572	21	17	10500	502	1378	4453
1966	NWT	-99	117	-99	688	7	28	33362	604	1149	4002
1967	NWT	-99	112	-99	395	7	23	15938	386	1551	5021
1968	NWT	-99	136	-99	370	12	29	10151	741	3345	6059
1969	NWT	-99	148	-99	313	16	27	6713	821	4893	9429
1970	NWT	35838	148	27	295	20	21	25648	493	5165	4021
1971	NWT	43856	78	32	290	70	24	32217	1393	5492	4260
1972	NWT	16944	113	29	361	68	52	9035	1091	2782	3413
1973	NWT	47027	119	24	445	57	46	40735	1282	1015	3304
1974	NWT	30302	177	22	409	25	33	25422	1592	1243	1379
1975	NWT	28305	184	12	418	21	32	23310	1259	581	2488
1976	NWT	44806	180	28	424	7	45	34018	2783	1702	5619
1977	NWT	39448	191	37	485	6	57	26415	1742	3778	6737
1978	NWT	38572	217	28	561	12	78	20094	4433	4539	8610
1979	NWT	45945	64	32	530	12	88	32567	3650	3160	5842
1980	NWT	48742	160	10	574	16	126	37444	2863	2705	4844
1981	NWT	-99	130	-99	581	52	64	15287	3053	5980	3070
