Year	site	total	Black.Bear	Polar.Bear	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	ontario	-99	1370	4	-99	4868	589	6361	1176	37240
1920	ontario	-99	1319	23	-99	2739	236	17245	630	44597
1921	ontario	-99	2020	4	-99	3231	1782	15489	805	89679
1922	ontario	-99	1318	7	-99	2284	1485	19655	1136	60623
1923	ontario	-99	1079	14	-99	1949	357	24472	2154	89143
1924	ontario	-99	2014	-99	-99	1936	974	35495	2200	68138
1925	ontario	-99	1635	-99	-99	2618	226	30610	3884	65307
1926	ontario	-99	1472	-99	-99	3904	977	30863	4568	37628
1927	ontario	-99	1575	-99	-99	5401	590	19480	3845	32100
1928	ontario	-99	1888	-99	-99	4343	12	14655	1718	29893
1929	ontario	-99	1594	-99	-99	2510	103	9880	871	30226
1930	ontario	-99	883	-99	-99	1544	620	13229	799	34271
1931	ontario	-99	705	-99	-99	1258	508	6904	1088	48234
1932	ontario	-99	556	-99	-99	1203	72	15570	1400	52795
1933	ontario	-99	341	-99	-99	1309	89	34616	2138	68293
1934	ontario	-99	357	-99	-99	1495	183	44563	2611	67253
1935	ontario	-99	362	-99	-99	2123	773	44329	2608	54826
1936	ontario	-99	590	-99	-99	2052	36	24568	1925	49813
1937	ontario	-99	409	-99	-99	1418	46	27495	1014	48169
1938	ontario	-99	354	-99	-99	1353	135	20214	664	62754
1939	ontario	-99	282	-99	-99	1372	81	15110	491	98155
1940	ontario	-99	303	-99	-99	853	324	37914	429	103825
1941	ontario	-99	364	-99	-99	834	19	35395	546	127595
1942	ontario	-99	230	-99	-99	659	70	63885	-99	147979
1943	ontario	-99	285	-99	-99	1097	32	43997	687	50071
1944	ontario	-99	333	-99	-99	1213	20	50647	986	42716
1945	ontario	-99	377	-99	-99	1626	67	27746	768	42938
1946	ontario	-99	360	-99	-99	1795	144	17298	766	36707
1947	ontario	-99	302	-99	-99	968	111	17413	616	27831
1948	ontario	-99	-99	-99	-99	1435	55	9546	542	38062
1949	ontario	-99	-99	-99	-99	589	66	13310	479	43178
1950	ontario	-99	-99	-99	-99	798	240	10125	462	37653
1951	ontario	-99	-99	-99	-99	2250	81	12310	215	35172
1952	ontario	-99	-99	-99	-99	2559	170	6031	1479	36100
1953	ontario	-99	-99	-99	-99	2550	306	5444	1769	36133
1954	ontario	-99	-99	-99	-99	3281	635	16260	1400	33639
1955	ontario	-99	-99	-99	-99	3240	54	3598	918	32954
1956	ontario	-99	-99	-99	-99	2368	160	3712	665	35776
1957	ontario	-99	-99	-99	-99	2930	218	2886	1083	48205
1958	ontario	-99	-99	-99	-99	2423	373	5954	2310	45732
1959	ontario	-99	-99	-99	-99	3020	75	2996	4116	47536
1960	ontario	-99	-99	-99	-99	3300	74	2382	4459	61728
1961	ontario	-99	-99	-99	-99	2818	420	3184	4746	47901
1962	ontario	-99	-99	-99	-99	2879	61	4916	4871	43120
1963	ontario	-99	-99	-99	-99	3794	63	3167	3337	40867
1964	ontario	-99	-99	-99	-99	2686	30	5366	1720	33844
1965	ontario	-99	-99	-99	-99	3428	64	5425	1578	26092
1966	ontario	-99	128	-99	-99	3056	26	5090	1264	23761
1967	ontario	-99	103	-99	-99	2264	252	8577	910	21717
1968	ontario	-99	148	-99	-99	3580	77	8387	1345	27621
1969	ontario	-99	115	-99	-99	3355	59	6529	2149	28347
1970	ontario	-99	59	14	-99	2762	102	9727	1895	18549
1971	ontario	37181	2139	23	478	3815	336	8740	2818	18832
1972	ontario	53450	9275	9	470	4399	27	13409	5137	20724
1973	ontario	44201	6030	27	892	3992	58	11529	3698	17975
1974	ontario	36936	3763	15	1164	2726	130	10125	1917	17096
1975	ontario	36383	4166	17	2268	2161	101	11674	1151	14845
1976	ontario	44199	3996	21	2977	2671	280	14299	1133	18822
1977	ontario	47296	1497	16	3272	2707	198	17195	1732	20679
1978	ontario	51679	2762	19	3042	3291	153	18855	1861	21696
1979	ontario	55769	818	22	3819	4457	176	16615	2485	27377
1980	ontario	65697	482	29	3244	4013	164	25464	2360	29941
1981	ontario	-99	5295	45	2784	3717	217	-99	2913	30372
