Year	site	total	BlackBear	PolarBear	Bobcat	Fisher	Arcticfox	Redfox	Lynx	Mink
1919	quebec	-99	1733	31	-99	2585	3461	4453	2440	27431
1920	quebec	-99	1133	35	-99	882	7019	7914	550	19061
1921	quebec	-99	1250	11	-99	958	7858	6931	689	23930
1922	quebec	-99	798	33	-99	405	36617	8574	897	16572
1923	quebec	-99	964	25	-99	675	14482	11553	1593	22306
1924	quebec	-99	1199	51	-99	802	4644	19133	3239	20609
1925	quebec	-99	826	5	-99	986	8633	24470	4978	15442
1926	quebec	-99	1151	-99	-99	1689	3569	14831	5519	10899
1927	quebec	-99	1172	16	-99	1642	13365	10794	2889	5579
1928	quebec	-99	1082	17	-99	1096	2255	7165	1100	8725
1929	quebec	-99	1059	11	-99	872	1036	5907	646	14748
1930	quebec	-99	755	12	-99	589	9335	4836	436	18107
1931	quebec	-99	442	12	-99	458	23303	5304	399	20518
1932	quebec	-99	427	6	-99	411	5695	7480	658	24418
1933	quebec	-99	341	7	-99	503	5396	12736	1078	25017
1934	quebec	-99	209	4	-99	627	14374	30568	2231	26318
1935	quebec	-99	136	10	-99	879	18559	27048	4081	22163
1936	quebec	39755	287	2	1	1816	1907	18111	3990	13641
1937	quebec	47505	300	10	6	1195	6216	20141	1915	17722
1938	quebec	60638	334	6	25	1194	13033	13691	1228	31127
1939	quebec	52706	167	2	53	797	1722	11430	795	37740
1940	quebec	50307	214	5	15	528	873	4819	475	43378
1941	quebec	91579	345	20	71	960	10250	24376	919	54638
1942	quebec	-99	271	-99	288	609	13091	38071	-99	63996
1943	quebec	71201	356	11	84	924	1641	37707	1819	28659
1944	quebec	70383	318	33	102	792	861	42035	2224	24018
1945	quebec	74245	273	9	90	1147	6102	41220	2922	22482
1946	quebec	49395	257	9	98	1155	8274	19798	2394	17410
1947	quebec	30894	257	19	91	999	1593	14395	1571	11969
1948	quebec	34970	282	12	77	1160	1585	11420	902	19532
1949	quebec	45526	206	18	81	1342	9533	10879	828	22639
1950	quebec	44141	240	20	61	1413	12422	8884	811	20290
1951	quebec	25094	146	14	24	1026	2744	5782	765	14593
1952	quebec	29796	172	32	35	1100	2706	5129	986	19636
1953	quebec	28721	175	21	34	1032	7986	5509	1068	12896
1954	quebec	43839	257	23	19	1219	19465	3672	1714	17470
1955	quebec	21002	221	31	57	1401	3095	2709	1469	12019
1956	quebec	22587	367	28	27	1342	3916	2872	1319	12716
1957	quebec	26914	339	32	66	1510	1883	3638	1515	17931
1958	quebec	22734	213	28	23	1364	1983	3287	1549	14287
1959	quebec	31214	185	28	41	1893	3728	5274	2486	17579
1960	quebec	43606	163	37	60	1489	12831	4380	3366	21280
1961	quebec	37377	237	48	83	1862	7952	2693	3104	21398
1962	quebec	22544	221	28	33	1228	408	2523	3127	14976
1963	quebec	31601	282	33	55	2075	1993	4100	4417	18646
1964	quebec	39808	237	17	39	2408	11602	3408	5622	16475
1965	quebec	22103	671	52	63	2616	934	3302	4545	9920
1966	quebec	20457	659	35	146	1847	432	4167	4238	8933
1967	quebec	31388	521	57	224	1605	12691	7145	2581	6564
1968	quebec	32371	872	30	139	2296	9791	7534	1994	9715
1969	quebec	24083	738	13	375	2250	638	6797	2188	11084
1970	quebec	21062	21	53	269	1597	480	7982	1599	9061
1971	quebec	21949	730	55	241	1687	1004	8155	1846	8231
1972	quebec	31970	483	45	128	1624	926	16286	3425	9053
1973	quebec	50219	570	76	207	2409	12539	15597	6247	12574
1974	quebec	39246	660	108	184	1439	5737	15647	4431	11040
1975	quebec	42597	801	41	197	1518	2336	15446	2930	19328
1976	quebec	58011	801	54	158	1244	1074	18471	2347	33862
1977	quebec	55139	1139	39	146	1610	5815	19392	2635	24363
1978	quebec	49894	1139	49	271	1476	5328	17992	2553	21086
1979	quebec	41010	2029	46	120	1644	978	20460	2523	13210
1980	quebec	46638	2005	65	243	1647	2460	22311	3281	14626
1981	quebec	-99	1725	37	175	1292	2553	-99	3556	12048
