Year	site	total	Badger	Black.Bear	Bobcat	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	saskatchewan	-99	1695	1327	-99	15934	470	454	-99	991	12459
1920	saskatchewan	16842	461	741	6	5007	58	66	1687	874	7942
1921	saskatchewan	31764	839	728	0	10461	98	287	4184	1451	13716
1922	saskatchewan	34034	1074	800	0	12490	122	475	5551	2092	11430
1923	saskatchewan	49591	2043	847	2	21536	90	56	9450	1614	13953
1924	saskatchewan	55213	5008	847	3	31009	48	179	10462	1022	6635
1925	saskatchewan	54877	6912	666	11	30475	86	120	7370	1382	7855
1926	saskatchewan	-99	-99	833	1	29926	65	891	5383	1427	5485
1927	saskatchewan	49237	15835	670	1	23700	40	25	2761	588	5617
1928	saskatchewan	47768	15583	581	4	21627	24	42	2949	388	6570
1929	saskatchewan	31451	7962	960	2	12717	22	29	4120	541	5098
1930	saskatchewan	26753	3885	473	2	9061	28	66	6286	762	6190
1931	saskatchewan	28265	2485	261	1	9651	15	18	8017	695	7122
1932	saskatchewan	40889	2069	139	4	10823	13	30	12889	1112	13810
1933	saskatchewan	52298	1686	74	0	12530	31	59	18704	1757	17457
1934	saskatchewan	61306	90	24	6	23158	15	11	20515	1602	15885
1935	saskatchewan	43184	18	16	7	20128	5	42	10047	1232	11689
1936	saskatchewan	39025	81	104	16	20851	9	37	7774	720	9433
1937	saskatchewan	35428	115	37	9	17742	17	67	8217	616	8608
1938	saskatchewan	40819	3147	18	2	14472	12	26	7471	669	15002
1939	saskatchewan	47314	4173	14	3	13805	10	6	6171	782	22350
1940	saskatchewan	82853	4088	21	0	14183	2	449	12598	576	50936
1941	saskatchewan	78465	5645	4	0	18862	14	295	25771	582	27292
1942	saskatchewan	-99	3664	10	1	18149	92	97	24523	-99	39578
1943	saskatchewan	69439	6183	50	7	26785	27	122	25935	340	9990
1944	saskatchewan	38185	2908	44	11	17883	294	1	10234	249	6561
1945	saskatchewan	35119	4793	32	3	19994	267	100	3972	127	5831
1946	saskatchewan	-99	995	67	-99	12579	76	185	3082	24	8088
1947	saskatchewan	-99	540	17	-99	8823	50	7	2133	361	9579
1948	saskatchewan	-99	559	10	-99	7934	165	170	1813	179	10672
1949	saskatchewan	28547	1023	12	5	8860	218	6	1865	363	16195
1950	saskatchewan	33402	499	11	3	15707	304	25	3243	1014	12596
1951	saskatchewan	-99	442	11	-99	6153	572	28	2333	1017	12833
1952	saskatchewan	25242	132	24	7	3016	574	42	1419	1175	18853
1953	saskatchewan	15371	239	9	0	769	735	6	1272	848	11493
1954	saskatchewan	18868	205	2	5	1971	390	149	422	1111	14613
1955	saskatchewan	21892	227	10	4	1907	274	28	354	574	18514
1956	saskatchewan	41145	367	34	4	885	336	5	364	852	38298
1957	saskatchewan	54210	234	48	8	838	321	78	879	1567	50237
1958	saskatchewan	36312	251	17	5	526	243	88	482	3333	31367
1959	saskatchewan	50684	877	40	28	1411	324	1	1695	11100	35208
1960	saskatchewan	42042	651	11	23	1813	298	0	4919	8335	25992
1961	saskatchewan	31266	500	162	12	2228	279	1523	2096	6070	18396
1962	saskatchewan	37529	267	139	26	4792	636	13	3770	6842	21044
1963	saskatchewan	28081	274	56	56	5179	492	22	4286	4230	13486
1964	saskatchewan	20921	230	137	34	3951	285	228	384	1050	14622
1965	saskatchewan	27892	400	420	48	7810	240	7	5263	934	12770
1966	saskatchewan	35377	680	353	50	8254	203	51	9045	1216	15525
1967	saskatchewan	31328	616	215	13	3294	174	60	3422	2632	20902
1968	saskatchewan	48875	669	613	49	9874	203	19	10426	5208	21814
1969	saskatchewan	52852	1366	630	41	8316	287	2	11110	10294	20806
1970	saskatchewan	41931	1102	656	37	10225	247	8	9790	9229	10637
1971	saskatchewan	55872	1125	629	42	16999	550	12	15224	7265	14026
1972	saskatchewan	79071	2046	875	3	25564	1229	7	17718	7890	23739
1973	saskatchewan	57550	2442	3103	23	24853	514	19	23766	2477	353
1974	saskatchewan	25033	1156	739	20	11768	642	48	9119	1389	152
1975	saskatchewan	39433	2350	1023	29	16684	434	36	17103	1697	77
1976	saskatchewan	40186	3578	1095	39	16826	839	263	13917	3321	308
1977	saskatchewan	45595	2541	1433	12	19762	538	109	16930	3758	512
1978	saskatchewan	56716	3920	1326	36	24015	892	71	22437	3449	570
1979	saskatchewan	67810	4135	1203	31	14013	1865	984	16162	3201	26216
1980	saskatchewan	56358	1959	1795	12	12863	2560	98	14691	2705	19675
1981	saskatchewan	61453	2464	1183	7	19815	3136	8	19327	2403	13110
