Year	site	total	Black.Bear	Coyote	Fisher	Arctic.fox	Red.fox	Lynx	Mink
1919	yukon	-99	356	57	-99	3	-99	334	976
1920	yukon	-99	253	36	-99	0	593	182	608
1921	yukon	-99	341	86	-99	38	1697	626	1289
1922	yukon	-99	225	112	-99	78	1515	1433	1754
1923	yukon	-99	330	371	-99	1080	2294	2526	2578
1924	yukon	-99	199	519	-99	783	3074	3757	2578
1925	yukon	-99	77	584	-99	840	1872	3503	5026
1926	yukon	-99	224	1207	-99	434	1677	3357	2779
1927	yukon	-99	178	1776	-99	220	2648	3786	1697
1928	yukon	-99	134	902	-99	77	2203	2372	957
1929	yukon	-99	164	437	-99	63	1149	1436	1171
1930	yukon	-99	72	36	-99	339	1056	785	2473
1931	yukon	-99	51	28	-99	364	1020	699	3360
1932	yukon	-99	41	12	-99	690	1136	915	3562
1933	yukon	-99	29	371	-99	41	1217	1024	3030
1934	yukon	7417	38	569	11	400	1792	1693	2914
1935	yukon	9753	67	855	18	276	2521	2943	3073
1936	yukon	9558	53	1083	5	159	2070	2964	3224
1937	yukon	8888	53	1457	25	139	1968	2752	2494
1938	yukon	6357	43	1589	10	1	1305	1763	1646
1939	yukon	3662	21	442	17	0	698	1191	1293
1940	yukon	3598	26	265	23	0	854	607	1823
1941	yukon	4314	32	271	38	1	850	745	2377
1942	yukon	-99	90	136	30	5	569	-99	2043
1943	yukon	4819	169	128	13	13	1619	891	1986
1944	yukon	8771	101	123	74	18	2388	1999	4068
1945	yukon	7420	35	33	57	6	2763	1815	2711
1946	yukon	7410	30	58	42	81	1588	1887	3724
1947	yukon	2793	10	34	27	2	718	1190	812
1948	yukon	1856	40	30	27	2	372	552	833
1949	yukon	1602	49	22	9	3	196	631	692
1950	yukon	2590	36	80	37	5	411	1030	991
1951	yukon	1032	33	8	27	0	104	166	694
1952	yukon	1334	22	10	42	46	59	408	747
1953	yukon	1490	30	10	52	32	141	554	671
1954	yukon	2478	24	2	26	274	53	1378	721
1955	yukon	3056	29	4	42	85	91	2029	776
1956	yukon	1589	29	14	18	1	72	1069	386
1957	yukon	788	75	8	16	0	132	406	151
1958	yukon	533	14	9	15	2	85	153	255
1959	yukon	1298	20	15	7	0	136	353	767
1960	yukon	1016	24	3	2	1	119	302	565
1961	yukon	1962	10	5	6	74	82	618	1167
1962	yukon	1060	108	18	2	2	79	266	585
1963	yukon	2813	68	31	13	41	200	1305	1155
1964	yukon	4091	69	85	33	68	386	2395	1055
1965	yukon	-99	-99	14	8	20	82	408	230
1966	yukon	738	3	75	8	5	174	290	183
1967	yukon	797	65	36	22	33	141	247	253
1968	yukon	-99	-99	119	3	33	129	334	286
1969	yukon	-99	-99	16	3	4	94	395	334
1970	yukon	756	57	21	0	0	48	443	187
1971	yukon	1638	0	40	2	33	202	1122	239
1972	yukon	3252	0	35	2	108	435	2264	408
1973	yukon	4096	0	144	4	49	477	2950	472
1974	yukon	-99	0	152	-99	70	293	1812	479
1975	yukon	-99	0	85	-99	1	206	737	527
1976	yukon	1446	0	116	3	39	212	539	537
1977	yukon	-99	0	126	-99	0	282	623	815
1978	yukon	2635	0	137	1	2	332	1252	911
1979	yukon	3513	24	145	1	12	457	1982	892
1980	yukon	4201	16	131	1	13	527	2849	664
1981	yukon	5175	17	160	3	0	623	3740	632
