Year	location	total	Peromyscus.maniculatus	Reithrodontomys.megalotis	Perognathus.parvus	Dipodomys.ordii	Dipodomys.microps
1973	curlew	15.9	9	0.1	4.7	1.3	0.8
1974	curlew	43.5	27.9	0	6.9	7.1	1.6
1975	curlew	18.5	9.1	0.1	6.4	1.6	1.3
1976	curlew	47.8	40.6	0.2	3.7	1.8	1.5
1977	curlew	23.2	14.2	1.2	3.7	2.9	1.2
1978	curlew	44.2	37.5	1.3	0.9	3	1.5
1979	curlew	18.6	14	0	0.8	2.6	1.2
1980	curlew	21.2	18.2	0.3	0.4	1.5	0.8
1981	curlew	49.4	42.1	3.5	0.8	2.2	0.8
1982	curlew	10.1	9	0.1	0.7	0	0.3
1983	curlew	47.5	45.7	0.5	0.9	0.2	0.2
1984	curlew	19.3	18.2	0	1	0.1	0
1985	curlew	29.6	26.4	0.6	2	0.6	0
1986	curlew	25.8	22.6	0	2.7	0.5	0
