Year	location	total	Reithrodontomys.megalotis	Perognathus.parvus	Dipodomys.ordii	Dipodomys.microps
1973	curlewPM	6.9	0.1	4.7	1.3	0.8
1974	curlewPM	15.6	0	6.9	7.1	1.6
1975	curlewPM	9.4	0.1	6.4	1.6	1.3
1976	curlewPM	7.2	0.2	3.7	1.8	1.5
1977	curlewPM	9	1.2	3.7	2.9	1.2
1978	curlewPM	6.7	1.3	0.9	3	1.5
1979	curlewPM	4.6	0	0.8	2.6	1.2
1980	curlewPM	3	0.3	0.4	1.5	0.8
1981	curlewPM	7.3	3.5	0.8	2.2	0.8
1982	curlewPM	1.1	0.1	0.7	0	0.3
1983	curlewPM	1.8	0.5	0.9	0.2	0.2
1984	curlewPM	1.1	0	1	0.1	0
1985	curlewPM	3.2	0.6	2	0.6	0
1986	curlewPM	3.2	0	2.7	0.5	0
