year	Area	total	Blesbok	BlackWildebeest	Eland	GreyRhebok	MountainReedbuck	Oribi	RedHartebeest	Springbok	BurchellsZebra
1994	GGNP	451	0	161	76	0	0	10	0	73	131
1995	GGNP	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1997	GGNP	837	0	95	125	187	257	13	0	54	106
1998	GGNP	712	0	103	126	111	151	14	41	67	99
1999	GGNP	737	0	103	148	67	232	5	41	53	88
2000	GGNP	710	0	115	165	152	96	16	15	59	92
2001	GGNP	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2002	GGNP	936	118	141	175	134	153	17	66	20	112
2003	GGNP	943	75	117	218	152	142	9	107	21	102
2004	GGNP	709	75	134	108	93	102	7	69	11	110
2002	QwaQwa	1712	735	265	101	6	4	0	280	152	169
2003	QwaQwa	1466	453	290	199	2	0	0	110	180	232
2004	QwaQwa	5036	1848	601	560	67	48	0	846	401	665
