year	Area	total	Blesbok	BlackWildebeest	Eland	GreyRhebok	MountainReedbuck	Oribi	RedHartebeest	Springbok	BurchellsZebra
1994	GGNP	110427.5885	0	27370	49400	0	0	170	0	2737.5	30750.0885
1995	GGNP	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1997	GGNP	135977.751	0	16150	81250	3740	7710	221	0	2025	24881.751
1998	GGNP	137684.1165	0	17510	81900	2220	4530	238	5535	2512.5	23238.6165
1999	GGNP	150274.048	0	17510	96200	1340	6960	85	5535	1987.5	20656.548
2000	GGNP	158824.982	0	19550	107250	3040	2880	272	2025	2212.5	21595.482
2001	GGNP	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2002	GGNP	189194.152	7965	23970	113750	2680	4590	289	8910	750	26290.152
2003	GGNP	213280.817	5062.5	19890	141700	3040	4260	153	14445	787.5	23942.817
2004	GGNP	138629.685	5062.5	22780	70200	1860	3060	119	9315	412.5	25820.685
2002	QwaQwa	243722.4615	49612.5	45050	65650	120	120	0	37800	5700	39669.9615
2003	QwaQwa	285325.672	30577.5	49300	129350	40	0	0	14850	6750	54458.172
2004	QwaQwa	879035.2775	124740	102170	364000	1340	1440	0	114210	15037.5	156097.7775
