Year	site	total	BlackBreastedSnakeEagle	BlackEagle	BootedEagle	JackalBuzzard	KoriBurstard	MartialEagle	Ostrich
1994	karoo	8	0	0	0	0	0	0	8
1995	karoo	-99	-99	-99	-99	-99	-99	-99	-99
1996	karoo	81	0	40	3	0	0	0	38
1997	karoo	45	0	40	3	0	0	2	0
1998	karoo	92	0	92	0	0	0	0	0
1999	karoo	160	4	24	3	2	1	0	126
2000	karoo	280	0	72	6	2	0	0	200
2001	karoo	-99	-99	-99	-99	-99	-99	-99	-99
2002	karoo	577	0	92	3	0	2	0	480
2003	karoo	504	2	108	3	10	1	0	380
2004	karoo	572	0	76	6	4	0	2	484
2005	karoo	418	2	92	12	2	2	2	306
2006	karoo	364	0	32	0	0	0	0	332
2007	karoo	-99	-99	-99	-99	-99	-99	-99	-99
2008	karoo	704	0	0	0	0	0	0	704
2009	karoo	694	0	0	0	0	0	0	694
