Year	site	total	Aardwolf	Baboon	BatEaredFox	Caracal	Jackal	BlackBreastedSnakeEagle	BlackEagle	BootedEagle	JackalBuzzard	MartialEagle
1994	karoo	36	0	18	18	0	0	0	0	0	0	0
1995	karoo	-990	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1996	karoo	46	0	3	0	0	0	0	40	3	0	0
1997	karoo	45	0	0	0	0	0	0	40	3	0	2
1998	karoo	182	0	75	15	0	0	0	92	0	0	0
1999	karoo	60	0	27	0	0	0	4	24	3	2	0
2000	karoo	109	0	18	3	0	8	0	72	6	2	0
2001	karoo	-990	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2002	karoo	210	3	48	48	4	12	0	92	3	0	0
2003	karoo	238	0	63	18	2	32	2	108	3	10	0
2004	karoo	171	0	39	18	0	26	0	76	6	4	2
2005	karoo	543	1	357	45	0	30	2	92	12	2	2
2006	karoo	119	2	0	33	0	52	0	32	0	0	0
2007	karoo	-990	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	karoo	608	0	576	0	0	32	0	0	0	0	0
2009	karoo	1082	0	1062	0	0	20	0	0	0	0	0
