Year	site	total	Buffalo	BurchellsZebra	Duiker	Eland	Gemsbok	GreyRhebok	Klipspringer	Kudu	MountainReedbuck	MountainZebra	RedHartebeest	Springbok	Steenbok	Zebra
1994	karoo	8424	9	0	12	42	243	68	532	294	50	582	70	6489	33	0
1995	karoo	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1996	karoo	7148	111	0	9	165	540	410	336	546	70	585	8	4326	42	0
1997	karoo	2230	0	0	21	0	336	76	376	291	32	162	0	900	36	0
1998	karoo	8152	0	0	12	243	981	378	176	501	72	720	572	4401	96	0
1999	karoo	9472	27	0	72	339	942	288	432	699	46	0	606	5601	180	240
2000	karoo	12876	27	0	159	423	1143	302	1136	1188	66	897	964	6330	225	16
2001	karoo	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2002	karoo	13880	0	0	45	846	1449	242	1088	1131	76	1062	994	6834	81	32
2003	karoo	12748	0	0	69	402	1758	284	1160	1329	86	1140	1040	5328	123	29
2004	karoo	10062	0	0	51	522	1974	408	1088	1050	84	1020	1240	2496	84	45
2005	karoo	10163	15	0	54	405	1356	350	1616	1464	192	1206	1184	2115	168	38
2006	karoo	9214	21	120	6	417	1941	144	632	2067	72	1164	1214	1371	45	0
2007	karoo	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	karoo	11372	21	140	15	645	2745	390	1048	2061	100	1539	1708	939	21	0
2009	karoo	11358	15	158	24	735	3414	158	760	2022	42	1458	1624	924	24	0
