year	web	total	chin	dime	dior	disp	pgfv	pmbo	pmdi	pmle	pmtr	remg	remn												
1989	2	48	0	1	15	3	21	0	0	0	1	2	5												
1990	2	15	0	0	11	0	4	0	0	0	0	0	0												
1991	2	9	0	0	0	2	3	0	0	2	2	0	0												
1992	2	33	0	0	4	11	13	0	0	0	0	1	4												
1993	2	20	0	0	2	10	5	0	0	0	2	1	0												
1994	2	19	0	0	5	8	6	0	0	0	0	0	0												
1995	2	57	0	2	23	11	16	0	0	1	1	1	2												
1996	2	9	0	0	4	2	1	0	0	0	1	1	0												
1997	2	124	0	0	21	8	95	0	0	0	0	0	0												
1998	2	43	0	0	16	8	17	1	0	1	0	0	0												
1999	2	26	0	1	9	5	10	0	0	0	1	0	0												
2000	2	16	0	0	2	10	4	0	0	0	0	0	0												
2001	2	15	0	0	0	9	6	0	0	0	0	0	0												
2002	2	22	0	0	2	8	12	0	0	0	0	0	0												
2003	2	109	0	1	11	12	84	0	0	1	0	0	0												
2004	2	45	0	0	0	25	19	0	0	0	1	0	0												
2005	2	46	2	0	0	26	17	0	0	0	1	0	0												
1989	3	75	0	0	33	8	31	0	0	0	0	3	0												
1990	3	40	0	3	21	10	6	0	0	0	0	0	0												
1991	3	19	0	0	5	9	3	0	0	1	1	0	0												
1992	3	40	0	0	5	25	4	0	0	0	0	0	6												
1993	3	32	0	0	8	16	6	0	0	0	2	0	0												
1994	3	15	0	0	5	6	3	0	0	1	0	0	0												
1995	3	82	0	2	24	17	34	0	0	0	1	2	2												
1996	3	12	0	0	5	4	3	0	0	0	0	0	0												
1997	3	101	0	0	19	14	68	0	0	0	0	0	0												
1998	3	51	0	0	12	14	22	2	0	1	0	0	0												
1999	3	28	0	0	9	8	9	0	0	1	1	0	0												
2000	3	28	0	0	9	11	8	0	0	0	0	0	0												
2001	3	19	0	0	6	7	6	0	0	0	0	0	0												
2002	3	19	0	0	5	4	10	0	0	0	0	0	0												
2003	3	120	0	1	12	10	97	0	0	0	0	0	0												
2004	3	26	0	1	1	7	17	0	0	0	0	0	0												
2005	3	49	0	1	2	22	24	0	0	0	0	0	0												
1989	5	53	0	2	10	5	30	0	0	0	0	3	3												
1990	5	30	0	0	12	7	11	0	0	0	0	0	0												
1991	5	8	0	0	0	5	3	0	0	0	0	0	0												
1992	5	27	0	0	2	4	19	0	0	0	0	0	2												
1993	5	27	0	0	7	5	8	0	2	0	2	0	3												
1994	5	17	0	0	4	3	9	0	0	1	0	0	0												
1995	5	57	0	2	16	17	20	0	0	0	2	0	0												
1996	5	11	0	0	1	7	1	0	0	1	1	0	0												
1997	5	79	0	0	14	7	54	0	0	4	0	0	0												
1998	5	43	0	0	13	2	25	2	0	0	0	0	1												
1999	5	34	0	0	7	12	15	0	0	0	0	0	0												
2000	5	24	0	0	7	10	7	0	0	0	0	0	0												
2001	5	17	0	0	4	4	9	0	0	0	0	0	0												
2002	5	19	0	0	6	4	9	0	0	0	0	0	0												
2003	5	81	0	0	10	12	59	0	0	0	0	0	0												
2004	5	26	0	0	0	14	11	0	0	0	1	0	0												
2005	5	28	0	1	0	21	5	0	0	1	0	0	0												
