year	web	Etot	Chaetodipus.intermedius	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Perognathus.flavus	Peromyscus.boylii	Peromyscus.difficilis	Peromyscus.leucopus	Peromyscus.truei	Reithrodontomys.megalotis	Reithrodontomys.montanus												
1989	2	2851.488927	0	114.917001	1506.942654	576.793891	472.2453109	0	0	0	0	61.56332869	119.0267413												
1990	2	1146.77202	0	0	1060.643255	0	86.12876471	0	0	0	0	0	0												
1991	2	687.2158178	0	0	0	375.8924993	74.71649816	0	0	131.0122842	105.5945362	0	0												
1992	2	3207.850117	0	0	470.4328946	2222.66296	351.7652723	0	0	0	0	49.72406726	113.2649224												
1993	2	2332.19957	0	0	160.1807895	1914.899484	121.9586526	0	0	0	105.5945362	29.56610729	0												
1994	2	2227.135811	0	0	483.7632556	1599.748613	143.6239425	0	0	0	0	0	0												
1995	2	5254.680509	0	170.676801	2306.690925	2128.652332	412.1881632	0	0	72.93789199	65.51523111	31.9972214	66.02194343												
1996	2	941.5603044	0	0	422.9237425	444.4254825	24.48701213	0	0	0	49.72406726	0	0												
1997	2	5876.81435	0	0	2140.183558	1388.614199	2348.016593	0	0	0	0	0	0												
1998	2	3963.257371	0	0	1664.055597	1729.98284	444.0225926	57.80019146	0	67.3961502	0	0	0												
1999	2	2544.639735	0	114.917001	963.4875812	1111.966108	283.1623061	0	0	0	71.10673945	0	0												
2000	2	2302.449123	0	0	202.5353995	1994.307238	105.6064855	0	0	0	0	0	0												
2001	2	2111.516917	0	0	0	1951.777723	159.7391934	0	0	0	0	0	0												
2002	2	2066.965501	0	0	208.0282229	1569.574783	289.3624944	0	0	0	0	0	0												
2003	2	5478.925834	0	97.2079476	1205.554708	2044.022394	2086.620784	0	0	45.52	0	0	0												
2004	2	6240.536906	0	0	0	5760.732066	430.0807731	0	0	0	49.72406726	0	0												
2005	2	5561.049845	54.05311942	0	0	5077.610205	358.2797811	0	0	0	71.10673945	0	0												
1989	3	5434.739651	0	0	3115.409838	1486.911466	762.954685	0	0	0	0	69.46366181	0												
1990	3	4030.03808	0	213.777239	1959.025606	1732.314985	124.9202497	0	0	0	0	0	0												
1991	3	2142.658442	0	0	471.3756395	1497.146966	74.71649816	0	0	47.63749952	51.78183865	0	0												
1992	3	6129.806418	0	0	511.810733	5216.204303	223.6331463	0	0	0	0	0	178.1582356												
1993	3	4414.443723	0	0	740.4959888	3415.672465	146.7337673	0	0	0	111.5415022	0	0												
1994	3	1902.750882	0	0	509.7673263	1280.25736	76.0403782	0	0	36.68581747	0	0	0												
1995	3	7068.195496	0	168.6286905	2510.89041	3344.273134	861.5169407	0	0	0	59.75966351	61.56332869	61.56332869												
1996	3	1514.892391	0	0	534.1826788	907.2486757	73.4610364	0	0	0	0	0	0												
1997	3	6547.553517	0	0	1968.214483	2861.986164	1717.35287	0	0	0	0	0	0												
1998	3	5119.190173	0	0	1275.780448	3089.728737	568.6485283	121.4163254	0	63.61613396	0	0	0												
1999	3	2793.858328	0	0	898.4076537	1535.857495	242.1643479	0	0	63.61613396	53.81269755	0	0												
2000	3	3195.004884	0	0	889.8480084	2117.583929	187.5729466	0	0	0	0	0	0												
2001	3	2267.131287	0	0	603.8687656	1511.181765	152.0807564	0	0	0	0	0	0												
2002	3	1620.575156	0	0	503.964754	864.9149939	251.6954084	0	0	0	0	0	0												
2003	3	5438.867563	0	93.87484527	1136.596136	1740.417071	2467.97951	0	0	0	0	0	0												
2004	3	1710.167579	0	80.11640516	125.7204809	1104.360348	399.970345	0	0	0	0	0	0												
2005	3	5577.687379	0	93.87484527	205.4188099	4744.604215	533.789509	0	0	0	0	0	0												
1989	5	3107.788498	0	107.6253951	1072.770901	1030.548008	731.864637	0	0	0	0	81.28074158	83.69881516												
1990	5	2702.577717	0	0	1197.483892	1259.535192	245.5586333	0	0	0	0	0	0												
1991	5	944.9107287	0	0	0	871.8319477	73.07878109	0	0	0	0	0	0												
1992	5	1399.24949	0	0	221.7244072	634.7353071	492.5602897	0	0	0	0	0	50.22948603												
1993	5	2144.143439	0	0	651.908916	947.3195328	226.2528419	0	101.5059059	0	130.9576741	0	86.19856851												
1994	5	1400.1156	0	0	419.6678538	693.1985002	241.7292463	0	0	45.52	0	0	0												
1995	5	6130.391518	0	181.0036179	1822.772301	3479.14607	529.9532672	0	0	0	117.5162618	0	0												
1996	5	1419.273364	0	0	105.3802747	1164.467037	31.9972214	0	0	63.61613396	53.81269755	0	0												
1997	5	4314.081648	0	0	1310.386187	1432.992551	1346.795732	0	0	223.9071777	0	0	0												
1998	5	2655.568738	0	0	1511.866864	362.5595098	638.4756276	115.6003829	0	0	0	0	27.06635394												
1999	5	3219.750688	0	0	723.8854517	2095.223938	400.6412981	0	0	0	0	0	0												
2000	5	2855.699143	0	0	690.0247228	1992.102115	173.5723051	0	0	0	0	0	0												
2001	5	1620.816188	0	0	476.7908145	916.2517212	227.7736522	0	0	0	0	0	0												
2002	5	1689.097065	0	0	669.8940058	786.1911351	233.0119243	0	0	0	0	0	0												
2003	5	4927.819842	0	0	1098.107175	2428.776341	1400.936326	0	0	0	0	0	0												
2004	5	3192.093856	0	0	0	2874.164166	266.147851	0	0	0	51.78183865	0	0												
2005	5	4820.723759	0	113.3463622	0	4516.941916	124.9202497	0	0	65.51523111	0	0	0												
