year	web	total	chin	dime	dior	pgfv	pmbo	pmdi	pmer	pmle	pmsp	pmtr	remg	remn												
1989	1	89	4	67	0	15	0	0	0	1	1	0	1	0												
1990	1	53	1	44	1	4	0	0	2	0	1	0	0	0												
1991	1	34	0	13	0	0	0	0	2	4	1	14	0	0												
1992	1	94	0	58	0	12	0	0	22	1	1	0	0	0												
1993	1	70	4	40	0	4	0	0	8	11	1	1	1	0												
1994	1	29	0	23	0	3	0	0	2	1	0	0	0	0												
1995	1	86	0	73	1	1	1	1	8	0	0	1	0	0												
1996	1	21	0	19	0	0	0	0	0	0	0	2	0	0												
1997	1	103	0	57	1	27	1	0	16	0	0	0	1	0												
1998	1	52	0	30	2	5	2	0	11	2	0	0	0	0												
1999	1	46	0	29	3	10	0	0	2	0	0	1	1	0												
2000	1	55	0	41	2	8	0	0	3	0	0	0	1	0												
2001	1	14	0	11	0	3	0	0	0	0	0	0	0	0												
2002	1	31	0	27	0	3	0	0	0	0	0	0	1	0												
2003	1	77	0	49	0	15	1	0	10	1	0	0	1	0												
2004	1	28	0	13	1	11	3	0	0	0	0	0	0	0												
2005	1	56	3	30	0	15	8	0	0	0	0	0	0	0												
1989	3	76	0	50	1	21	0	0	0	0	0	0	4	0												
1990	3	26	0	25	0	1	0	0	0	0	0	0	0	0												
1991	3	28	0	18	0	0	0	0	0	2	1	7	0	0												
1992	3	72	1	57	0	11	0	0	0	0	0	0	1	2												
1993	3	40	0	33	0	5	0	0	1	1	0	0	0	0												
1994	3	20	0	16	0	4	0	0	0	0	0	0	0	0												
1995	3	75	0	61	0	6	0	1	6	0	0	0	1	0												
1996	3	10	0	10	0	0	0	0	0	0	0	0	0	0												
1997	3	75	0	49	0	22	0	0	3	1	0	0	0	0												
1998	3	48	0	31	0	14	0	0	1	1	0	0	1	0												
1999	3	34	0	29	0	4	0	0	0	1	0	0	0	0												
2000	3	59	0	46	0	11	0	0	1	1	0	0	0	0												
2001	3	22	0	14	0	8	0	0	0	0	0	0	0	0												
2002	3	36	0	30	0	4	1	0	0	0	0	1	0	0												
2003	3	133	0	69	4	33	0	0	12	2	0	6	7	0												
2004	3	24	0	17	0	6	0	0	1	0	0	0	0	0												
2005	3	71	0	41	0	28	1	0	1	0	0	0	0	0												
1989	5	65	0	50	0	13	0	0	2	0	0	0	0	0												
1990	5	27	0	27	0	0	0	0	0	0	0	0	0	0												
1991	5	15	0	6	0	1	0	0	0	1	0	7	0	0												
1992	5	44	0	36	0	7	0	0	0	0	0	0	0	1												
1993	5	36	0	28	0	5	0	0	0	2	0	0	1	0												
1994	5	30	0	26	0	2	0	0	0	2	0	0	0	0												
1995	5	90	0	66	1	12	0	0	3	3	0	0	3	2												
1996	5	9	0	8	0	1	0	0	0	0	0	0	0	0												
1997	5	117	0	51	0	58	0	0	3	2	0	0	3	0												
1998	5	44	0	18	2	23	0	0	1	0	0	0	0	0												
1999	5	29	0	16	1	10	1	0	0	0	0	1	0	0												
2000	5	53	0	42	2	9	0	0	0	0	0	0	0	0												
2001	5	23	0	14	0	9	0	0	0	0	0	0	0	0												
2002	5	32	0	29	0	3	0	0	0	0	0	0	0	0												
2003	5	126	1	74	1	45	0	0	1	0	0	3	1	0												
2004	5	44	0	22	1	19	2	0	0	0	0	0	0	0												
2005	5	80	0	37	3	35	5	0	0	0	0	0	0	0												
