year	web	Etot	Chaetodipus.intermedius	Dipodomys.merriami	Dipodomys.ordii	Perognathus.flavus	Peromyscus.boylii	Peromyscus.difficilis	Peromyscus.eremicus	Peromyscus.leucopus	Peromyscus	Peromyscus.truei	Reithrodontomys.megalotis	Reithrodontomys.montanus												
1989	1	6758.506348	143.3345427	6150.98405	0	358.7500642	0	0	0	57.80019146	0	0	47.63749952	0												
1990	1	4201.136193	0	3908.400896	92.19346948	99.2035103	0	0	101.338317	0	0	0	0	0												
1991	1	2370.087975	0	1156.495852	0	0	0	0	112.9161502	325.2388421	57.80019146	717.6369398	0	0												
1992	1	6744.352623	0	5245.502343	0	284.068339	0	0	1091.466518	65.51523111	57.80019146	0	0	0												
1993	1	5110.600712	153.4614599	3850.83481	0	100.5273903	0	0	444.4444421	482.042436	0	49.72406726	29.56610729	0												
1994	1	2476.540593	0	2228.29052	0	88.62968263	0	0	132.5540366	27.06635394	0	0	0	0												
1995	1	7391.621525	0	6648.317202	114.917001	19.02566168	49.72406726	53.81269755	456.1008283	0	0	49.72406726	0	0												
1996	1	1973.630928	0	1833.264459	0	0	0	0	0	0	0	140.3664688	0	0												
1997	1	7013.764249	0	5315.239674	76.55520964	640.8883915	81.87725981	0	855.8345848	0	0	0	43.36913005	0												
1998	1	3977.861534	0	2768.56542	243.7575475	132.430459	105.5945362	0	614.3608414	113.1527306	0	0	0	0												
1999	1	3505.961505	0	2732.182139	323.9730478	236.3732296	0	0	132.5540366	0	0	53.81269755	27.06635394	0												
2000	1	4522.308972	0	3926.423887	200.9978406	198.1929806	0	0	142.8815668	0	0	0	53.81269755	0												
2001	1	1125.102115	0	1043.982642	0	81.11947335	0	0	0	0	0	0	0	0												
2002	1	2647.39842	0	2539.454973	0	75.94622545	0	0	0	0	0	0	31.9972214	0												
2003	1	5535.448389	0	4539.123967	0	372.1018189	55.81831696	0	512.585969	55.81831696	0	0	0	0												
2004	1	1665.00985	0	1121.253823	108.5900163	273.9004407	161.2655694	0	0	0	0	0	0	0												
2005	1	3479.419759	166.0155103	2560.611148	0	319.9027818	432.8903191	0	0	0	0	0	0	0												
1989	3	5230.656446	0	4517.776133	90.50180893	514.2125192	0	0	0	0	0	0	108.1659851	0												
1990	3	2227.588121	0	2218.01872	0	9.569401206	0	0	0	0	0	0	0	0												
1991	3	2256.682144	0	1691.040042	0	0	0	0	0	107.6001556	59.75966351	398.2822831	0	0												
1992	3	5387.703284	36.68581747	4965.988072	0	289.0978661	0	0	0	0	0	0	31.9972214	63.93430675												
1993	3	3401.356521	0	3150.514109	0	135.3317697	0	0	53.81269755	61.69794481	0	0	0	0												
1994	3	1565.51316	0	1440.636005	0	124.877155	0	0	0	0	0	0	0	0												
1995	3	6192.291928	0	5626.436306	0	146.82792	0	55.81831696	326.523567	0	0	0	36.68581747	0												
1996	3	894.6365813	0	894.6365813	0	0	0	0	0	0	0	0	0	0												
1997	3	5086.535145	0	4365.41994	0	540.4067233	0	0	144.0226644	36.68581747	0	0	0	0												
1998	3	3272.12506	0	2741.091189	0	370.9521643	0	0	61.69794481	61.69794481	0	0	36.68581747	0												
1999	3	2547.1514	0	2387.59956	0	97.85389578	0	0	0	61.69794481	0	0	0	0												
2000	3	4446.521131	0	4092.075939	0	246.845036	0	0	51.78183865	55.81831696	0	0	0	0												
2001	3	1569.842163	0	1366.381782	0	203.4603813	0	0	0	0	0	0	0	0												
2002	3	2795.981232	0	2639.155955	0	103.0125794	0	0	0	0	0	53.81269755	0	0												
2003	3	8694.328002	0	6287.113577	344.7456028	756.6557851	0	0	616.3486849	119.519327	0	352.2536964	217.6913295	0												
2004	3	1794.698688	0	1597.39944	0	141.4809309	0	0	55.81831696	0	0	0	0	0												
2005	3	4464.019393	0	3692.14272	0	668.7478792	59.75966351	0	43.36913005	0	0	0	0	0												
1989	5	4726.471452	0	4303.524742	0	315.4224514	0	0	107.5242587	0	0	0	0	0												
1990	5	2339.808695	0	2339.808695	0	0	0	0	0	0	0	0	0	0												
1991	5	1004.721656	0	539.7471425	0	27.06635394	0	0	0	49.72406726	0	388.1840922	0	0												
1992	5	3540.916783	0	3365.937177	0	146.6541788	0	0	0	0	0	0	0	28.32542669												
1993	5	2727.407585	0	2450.602874	0	124.9202497	0	0	0	117.5162618	0	0	34.36819947	0												
1994	5	2597.822301	0	2433.289946	0	51.37962486	0	0	0	113.1527306	0	0	0	0												
1995	5	6646.583528	0	5857.868245	105.3802747	266.2072308	0	0	152.6040935	115.5106424	0	0	73.37163494	75.64140696												
1996	5	761.9562257	0	737.4692136	0	24.48701213	0	0	0	0	0	0	0	0												
1997	5	6240.986857	0	4543.611516	0	1361.029332	0	0	140.514779	95.1509687	0	0	100.6802603	0												
1998	5	2541.305009	0	1691.501823	195.8820837	600.1084041	0	0	53.81269755	0	0	0	0	0												
1999	5	1943.937836	0	1512.820373	105.3802747	220.1948037	55.81831696	0	0	0	0	49.72406726	0	0												
2000	5	4158.30638	0	3712.216324	215.5633207	230.5267352	0	0	0	0	0	0	0	0												
2001	5	1647.53799	0	1417.011255	0	230.5267352	0	0	0	0	0	0	0	0												
2002	5	2835.559195	0	2764.865806	0	70.6933891	0	0	0	0	0	0	0	0												
2003	5	8043.003987	43.36913005	6594.42805	119.5868046	1020.140777	0	0	53.81269755	0	0	177.2983277	34.36819947	0												
2004	5	2694.499689	0	2032.030102	69.25972932	479.6374969	113.5723611	0	0	0	0	0	0	0												
2005	5	4610.691973	0	3299.790826	320.3868999	709.9625125	280.5517339	0	0	0	0	0	0	0												
