year	web	total	chin	dime	dior	disp	pgfl	pgfv	pmbo	pmdi	pmer	pmle	pmma	pmsp	pmtr	remg	remn
1989	2	79	0	34	6	1	0	15	0	0	2	1	0	0	2	13	5
1990	2	57	0	38	1	0	1	5	0	0	0	4	0	2	5	1	0
1991	2	57	0	22	4	1	1	9	0	0	0	12	0	0	8	0	0
1992	2	89	0	48	1	0	1	12	0	2	0	16	0	0	5	4	0
1993	2	102	0	35	8	1	0	9	0	1	0	11	0	0	31	6	0
1994	2	72	0	48	9	0	0	9	1	0	0	2	0	0	3	0	0
1995	2	72	0	38	5	4	2	7	0	0	0	1	0	0	9	5	1
1996	2	36	0	16	1	5	5	1	1	0	0	0	0	0	7	0	0
1997	2	97	0	61	1	8	5	11	0	0	0	4	0	0	6	1	0
1998	2	91	0	48	0	8	0	6	0	0	0	14	0	0	14	1	0
1999	2	67	0	40	0	10	1	5	0	0	0	3	0	0	8	0	0
2000	2	49	0	28	5	6	0	1	0	0	0	0	0	0	9	0	0
2001	2	43	0	22	4	2	3	7	0	0	0	1	0	0	2	2	0
2002	2	46	0	21	2	5	3	5	6	0	2	0	0	0	1	1	0
2003	2	57	0	37	4	3	1	0	6	0	0	0	0	0	6	0	0
2004	2	56	0	43	0	0	2	2	1	0	0	0	0	0	8	0	0
2005	2	108	1	80	10	0	3	7	1	0	0	0	0	0	6	0	0
1989	4	48	0	28	0	0	0	17	0	0	0	0	0	0	0	3	0
1990	4	21	0	17	0	0	0	2	0	0	0	2	0	0	0	0	0
1991	4	46	0	25	1	0	2	11	0	0	0	3	1	0	1	2	0
1992	4	72	0	36	0	0	1	27	0	0	0	4	0	0	0	1	3
1993	4	80	0	37	0	0	0	15	0	0	0	14	0	1	3	9	1
1994	4	36	0	25	0	0	0	10	0	0	0	0	0	0	0	1	0
1995	4	43	0	29	7	1	0	2	0	0	0	3	0	0	0	0	1
1996	4	11	0	5	0	1	1	4	0	0	0	0	0	0	0	0	0
1997	4	67	0	50	0	0	2	12	0	0	0	2	0	0	0	1	0
1998	4	69	0	54	6	0	0	4	0	0	2	3	0	0	0	0	0
1999	4	50	0	44	1	0	0	3	0	0	0	2	0	0	0	0	0
2000	4	43	0	30	7	0	0	4	0	0	0	2	0	0	0	0	0
2001	4	38	1	16	7	0	4	7	1	0	0	1	0	0	0	1	0
2002	4	40	0	22	6	0	6	4	1	0	0	0	0	0	0	1	0
2003	4	44	0	28	3	0	1	6	0	0	0	0	0	0	0	6	0
2004	4	32	0	24	0	0	3	5	0	0	0	0	0	0	0	0	0
2005	4	80	1	69	0	0	0	10	0	0	0	0	0	0	0	0	0
1989	5	46	0	24	0	0	0	16	0	0	0	0	1	1	0	3	1
1990	5	32	0	20	0	0	0	2	0	0	0	10	0	0	0	0	0
1991	5	33	0	20	0	0	0	9	0	0	0	1	1	0	2	0	0
1992	5	86	0	45	0	0	0	23	0	0	0	12	0	0	0	2	4
1993	5	93	0	41	1	0	0	15	0	0	0	25	1	0	1	8	1
1994	5	36	0	29	0	0	0	7	0	0	0	0	0	0	0	0	0
1995	5	45	0	32	2	0	1	7	0	0	0	1	0	0	0	1	1
1996	5	14	0	7	0	0	2	3	1	0	0	0	0	0	1	0	0
1997	5	71	0	46	0	0	3	16	0	0	0	3	0	0	1	2	0
1998	5	75	0	61	0	0	0	7	0	0	0	5	0	0	0	1	1
1999	5	50	0	38	1	0	0	6	0	0	0	5	0	0	0	0	0
2000	5	30	0	26	2	0	0	2	0	0	0	0	0	0	0	0	0
2001	5	27	0	21	1	0	3	2	0	0	0	0	0	0	0	0	0
2002	5	20	0	17	1	0	1	1	0	0	0	0	0	0	0	0	0
2003	5	35	0	26	1	0	4	1	3	0	0	0	0	0	0	0	0
2004	5	26	0	22	0	0	0	3	1	0	0	0	0	0	0	0	0
2005	5	63	1	52	0	0	4	4	0	0	0	0	0	0	1	0	1
