year	web	Etot	Chaetodipus.intermedius	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Perognathus.flavescens	Perognathus.flavus	Peromyscus.boylii	Peromyscus.difficilis	Peromyscus.eremicus	Peromyscus.leucopus	Peromyscus.maniculatus	Peromyscus	Peromyscus.truei	Reithrodontomys.megalotis	Reithrodontomys.montanus												
1989	2	5060.01256	0	3033.820653	559.4711846	171.7742878	0	372.079468	0	0	130.7380835	31.9972214	0	0	126.9947099	474.3584009	158.7785511												
1990	2	3880.573299	0	3099.254699	71.10673945	0	38.95558949	130.9778029	0	0	0	208.6132874	0	40.07399067	272.5655285	19.02566168	0												
1991	2	3914.810749	0	1853.071621	389.7359707	166.2624395	24.48701213	227.9239402	0	0	0	763.8403192	0	0	489.4894459	0	0												
1992	2	6160.766846	0	4293.111021	106.989158	0	43.36913005	276.6147142	0	115.6003829	0	844.8391307	0	0	315.6371501	164.606159	0												
1993	2	7144.472014	0	3227.812219	843.9165553	187.9713521	0	200.5783726	0	57.80019146	0	595.0668022	0	0	1825.32525	206.0012706	0												
1994	2	5609.100839	0	4103.050579	938.5860775	0	0	239.4060106	36.68581747	0	0	134.7923004	0	0	156.5800541	0	0												
1995	2	5546.510304	0	3408.566628	418.1374874	566.3904759	54.05311942	181.7264521	0	0	0	67.3961502	0	0	623.7575737	187.5268278	38.95558949												
1996	2	3243.467823	0	1538.348209	131.7559443	914.9225994	170.7923757	24.48701213	0	0	0	0	0	0	463.1616825	0	0												
1997	2	8682.818756	0	5907.640614	88.79954115	1530.343555	192.382172	308.8537724	0	0	0	245.5336704	0	0	382.1990765	27.06635394	0												
1998	2	7709.134725	0	4557.744338	0	1286.43138	0	149.4072619	0	0	0	790.1141097	0	0	886.482047	38.95558949	0												
1999	2	6822.635413	0	3864.325742	0	2066.263643	31.9972214	127.5937443	0	0	0	205.7425762	0	0	526.7124859	0	0												
2000	2	5031.689113	0	2677.149447	460.9361707	1243.00609	0	29.56610729	0	0	0	0	0	0	621.0312981	0	0												
2001	2	3490.249057	0	2077.519721	425.4888813	450.6472407	112.3272244	173.7205328	0	0	0	69.25972932	0	0	137.9165966	43.36913005	0												
2002	2	3948.089931	0	1964.756025	200.9711088	1113.995125	105.4222164	122.3409079	313.8566129	0	43.36913005	0	0	0	53.81269755	29.56610729	0												
2003	2	5643.204158	0	3770.384977	414.992832	634.1658871	36.68581747	0	379.2498477	0	0	0	0	0	407.7247967	0	0												
2004	2	4563.22879	0	3863.601747	0	0	73.32378896	48.87987152	53.81269755	0	0	0	0	0	523.6106842	0	0												
2005	2	8904.988349	27.06635394	7233.933364	924.9782834	0	93.43177481	156.7437299	63.61613396	0	0	0	0	0	405.2187089	0	0												
1989	4	2922.578381	0	2448.116866	0	0	0	385.7631939	0	0	0	0	0	0	0	88.69832186	0												
1990	4	1524.855298	0	1376.310213	0	0	0	27.50351758	0	0	0	121.041568	0	0	0	0	0												
