Year	site	total	ALIN	ALLI1	ALMA	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASAL	ASCL1	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BAPE	BOER	BOUT1	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	CSDL1	CYGY	DAPU	DEPI	DIWI	DYPE	ENDE	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERIO1	ERPU	ERRO	ERTR	EUAL	EUMI	EUPH1	EUSE	EUSR	HAGR	IPLO	IVAM	LARE	LEER	LELA	LEPI1	LEVI	LIBI	LIVE	LONE	MAFE	MAPI	MELE	MILI	MUPO	NAHI	OEPR	PEAN	PECT1	PENA	PHAC1	PHCO	PHIN	PLPA	POAC1	RANE	SACY	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPOR1	SPSU	SPVEG	STAR	STEX	STPA	TAAN	TALI1	TECO	TILA	UKFO1	UKFO4	UKFO5	UKGS1	VEEN	VEWR	VUOC
1989	CALI	33.694	0	0	0	0	0	0	0	16.955	0	0	0	0	0	0	0	0	0	0	0	2.624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.426	0	0	0	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	CALI	56.655	0	0	0	0	0	0	0	0	0	0	0	27.339	0	0	0	0	0	0	0	0.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.486	0	0	0	0	0	0	0	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	CALI	109.231	0	0	0	0	0	0	0	0	0	0	0	82.37	0	0	0	0	0	0	0	0.02	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.313	0.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	CALI	131.837	0	0	0	0	0	0	0	0	0	0	0	85.422	0	0	0	0	0	0	0	13.651	0.048	0	0	0	0	0	0	0	0	0	0	1.263	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	26.415	1.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	CALI	97.405	0	0	0	0	0	0	0	0	0	0	0	50.087	0	0	0	0	0	0	0	2.275	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0.379	0	0	0	0.002	0	0	0	0	0	0	0	39.898	0.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	CALI	80.671	0	0	0	0	0	0	33.005	0	0	0	0	35.605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	CALI	135.531	0	0	0	0	0	0	0	0	1.272	0	0	118.823	0	0	0	0	0	0	0	0.061	0.007	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	6.606	0	0	0	3.755	0.843	0	0	0	0	0	0	0	0.006	0	0	0	0	0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	CALI	54.163	0	0	0	0	0	0	26.491	0	0	0	0	27.551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	CALI	62.477	0	0	0	0	0	0	0	0	0	0	0	29.176	0	0	0	0	0	0	0	0.19	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.233	0	0	0	0	0.274	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	CALI	49.873	0	0	0	0	0	0	0	0	0	0	0	26.28	0	0	0	0	0	0	0	0.398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822	0	0	0	0	2.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
