Year	site	total	ALIN	ALLI1	AMAR1	AMCH	AMFI	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPE	ARPU	ARPU1	ARTE	ARTE1	ARWR	ASCR	ASNU	ASSU	ASTE	ASTE1	ASTE2	ASTR1	BAAB	BABI	BAMU	BAPE	BOAR	BOCU	BOER	BOER1	BOSP	BOTO	BRAS1	CABA	CACH	CAJA	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	DAPU	DECO	DEPI	DEVI	DICA	DIWI	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUDE	EUGL	EUMI	EUPH1	EUSE	EUSR	EVNU	GAPI	GIFL	GILI1	GSDL1	HAGR	HEAN	HECI	HELI1	HEPE	HODR	HOGL	HYFL	HYOD	HYVE	IVAM	KALL1	KRAM1	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MATA	MEAL	MELE	MENT1	MEPU	MILI	MOCE	MUAR	MUPO	NAHI	NYCT1	OEAL	OENO1	OEPR	PAHA	PENA	PEPA	PHAC1	PHCO	PHIN	PLPA	PSTA	RANE	SACY	SAHA	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPCC	SPHA1	SPIN	SPOR1	SPSU	SPVEG	STAR	STEP1	STEX	STPA	TAAN	TAAU	TALI1	TECO	TILA	TOAN	UKFO1	UKFO2	UKFO3	UKGR1	UKGS1	VEEN	VEWR	VUOC	XASA	XASP	XATE
1989	BASN	355.097	0	0	0	0.002	0	0	0	0	0	0	8.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	126.564	0	0	0	0	0	0	0	0	0	0.006	0.66	0	0	0	0	6.527	0	0	0	0	0	0	0	0	0.031	0	0	0	1.24	0	0	0	3.066	0	0	85.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	1.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.077	0	0	0	0	0	0	0	26.515	0	0	0	0	0	0	0	0	0	2.539	0	15.363	0	0	0	0	0	0	0	18.981	46.529	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN	347.886	0.013	0	0	0.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.959	0	0	0	5.725	0	0	0	1.28	0	0.272	0	0	0	254.076	0	0	0	0	0.148	0	0	0	0	0	0	0	0	0	0	1.836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0	0	0	0	0	3.536	0	0	0	0	0	0	0	1.664	0	0	0	0	0	0	0	0	0	0.255	0	27.636	0	0	0	0	0	0	0	0.47	37.855	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	BASN	234.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.014	0	0	0	0	0	0	0	0	0	0.018	0	0	0	171.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.197	0	0	0	0	0	0	0	0.762	0	0	0	0	0	0	0	0	0	0	0	24.641	0	0	0	0	0	0	0	0.119	32.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	BASN	414.864	0.379	0	0	12.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.848	0	0	0	3.181	0	0	0	0.784	0	0	0	0	0	246.383	0	0	0	0	0.022	0	0	0	0	0.964	0	0	0.425	0	0	9.558	0	0	0	0	0	0	0	0	0	0	0	0	0.924	0	0	0	4.931	0	0	22.279	0	1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	2.8	1.564	0	0	0	0	0	0	0	0	0	0.326	0	0	0	0	0	0	0	0	3.406	0	0	0	0	0	0	0	11.52	0	0	0	0	0	0	0	0	0	9.005	0	23.79	0	0	0	0	0	0	0	9.077	47.534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	BASN	543.994	0.025	0	0	0.136	0	0	0	1.898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0	0	0	3.073	0	0.053	0	0	0	303.634	0	0	0	0	0	0	0	0	0	0.004	0	0	0.307	3.765	0	6.244	0	0	0	0	0	0	0	0	0.131	0	0	0	0.155	0	0	0	3.505	0	0	92.223	0	1.875	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48	0	0	13.285	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	2.457	0	0.089	0	0	0	0	0	4.917	0	0	0	0	0	0	0	0	0	53.75	0	9.645	0	0	0	0	0	0	8.152	2.701	23.959	0	0	0	0	0	0	0	0	0	0	1.748	0	0	0	0	0	0	0	0	0	1.66
1994	BASN	305.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294.468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	2.118	0	0	0	0	0	0	7.327	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN	491.804	0	0	0	0	0	0	0	0	0	2.846	0	0	0	0	0	0	0	0	0	0	0	0	1.457	0	0	0.04	0.89	0	0.009	0	0	0	218.818	0	0	0	0	0	0	0	0	0	1.095	0	0	0.191	23.343	0	0.857	0	0	0	0	6.182	0	0	0	0.033	0	0	0	1.91	0	0	0	0	0	2.431	57.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	152.195	0	0	0	0	0	0	0	2.277	0	0.48	0.01	0	0	0	0	0	0.037	0	0	0	0	0	0	0	4.091	0	0	0	0	0	0	0	0	0	0.133	0	7.74	0	0	0	0	0	0	0	1.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004
1996	BASN	147.959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.001	0	0	0	136.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	9.701	0	0	0	0	0	0	0.087	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	BASN	246.47	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259	0	0.018	0	0	0	210.758	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0	0	2.139	0	0	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.661	0	0	0	0	0	0	0	1.869	0	0	0	0	0	0	0	0	0	0	0	27.991	0	0	0	0	0	0	0	0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN	476.448	0	0	0	0	0	0	0	0	0	1.786	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0	0	0.72	0	0	0	0	0	391.875	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0.753	0	1.277	0	0	4.319	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	2.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.803	0	0	0	0	0	0	0	5.238	0	0	0	0	0	0	0	0	0	0	0	55.914	0	0	0	0	0	0	0	0.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
