Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPU	ARTE	ARWR	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BOCU	BOER	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPT	CRYP1	DAPU	DAWR	DEPI	DIWI	DRCU	ENDE	ERAB	ERAN	ERDI	ERIA1	ERIO1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUMC	EVNU	GAPI	GIFL	GILI1	GILI2	GSDL1	HAGR	HODR	HYFL	IPLO	IVAM	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MEAL	MENT1	MEPU	MILI	MUAR	MUPO	NAHI	OEAL	OENA1	OENO1	OEPR	PAIN	PENA	PHAC1	PHCO	PLMU	PLPA	POPA	PSDL1	PSTA	RANE	SAKA	SCAR	SCBR	SELE	SELO	SOOL	SPCC	SPHA1	SPIN	SPOR1	SPSA	SPSU	SPVEG	STEX	STPA	TOAN	UKFO1	UKFO2	UKGR1	UKGS1	VEWR	VUOC	XASA
1990	BASN	156.562	0	0	0	0	1.609	0	0	0	0	0	0	0.543	0	0	0	0	0.077	0	141.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.688	0	0	0	0	0	0	0	0	0.054	10.348	0	0	0	0	0	0	0	0	0	0
1991	BASN	129.841	0	0	0	0	0	0	0	0	0	0.469	0	0	0	0	0	0	0.001	0	123.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371	0	0	0	0	0	0	0	0	0.045	5.515	0	0	0	0	0	0	0	0	0	0
1992	BASN	114.088	0	0	0	0	0	0	0	0	0	0.239	0	0	0	0	0	0	0	0	108.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485	0	0	0	0	0	0	0	0	0.059	4.822	0	0	0	0	0	0	0	0	0	0
1993	BASN	112.391	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	99.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171	0	0	0	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0	0	0	0	3.667	0	0	0	0	0	0	1.68	0	0	0.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196	0	0	0	0	0	0	0	0	0.047	6.826	0	0	0	0	0	0	0	0	0	0
1994	BASN	131.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	3.388	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN	104.338	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	90.019	0	0	0	0	0.024	0.02	0	0	0	0	0	0.482	0	0	0.409	0	0	0	0.005	0	0.008	0	0	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.276	0	0	0	0	0	0	0	4.554	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0.178	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.159	0	0.05	0	0	0	0	0	0	0.005	0	0	0	0
1996	BASN	72.466	0	0	0	0.153	0	0	0	0	0	0	0.178	0.169	0	0	0	0	0.012	0	71.731	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0
1997	BASN	134.822	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	134.677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN	182.083	0	0	0	0.015	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	181.934	0	0	0	0	0	0	0	0	0	0	0	0.025	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.025	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0.008	0	0.001	0	0	0	0	0	0	0	0	0	0	0
1999	BASN	222.546	0	0	0	0.067	0	0	0	0	0	0	0.438	0.162	0	0.003	0	0	0.002	0	217.453	0	0	0	0	0	0.02	0	0	0	0.202	0	0.854	0.023	0	0.301	0	0	0	0.005	0	0.016	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0.061	0.002	0	0.078	0	0	0	0	2.602	0	0	0	0	0	0.112	0	0.008	0	0	0	0.018	0	0.009	0	0.017	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0
