Year	site	total	ACWR	AMAR	AMAR1	AMPA	AMPU	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASNU	ASTE	ASTE1	ASTR1	BAAB	BAMU	CABA	CAJA	CHIN	COCO	CONI	CRAN	CRCR	CRMI	CRPO	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERDV	ERIO1	ERPU	ERRO	EUAL	FABA1	HAGR	HEHU	HOGL	LEGO	LESQ1	LIVE	MACH1	MALI	MAPI	MEPU	MSDL1	MUPO	NAHI	PECT1	PEPA	PHAC1	PHIN	POOL	PORT1	PSTA	SAKA	SCAR	SELE	SOEL	SPIN	SPOR1	SPSU	SPVEG	TECO	TILA	UKFO1	UKFO8	UKGR1	UKGR2	UKGS1	XASA	XASP1
1989	NORT	0.952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	NORT	12.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0.286	0.085	0	0	0	0	0	0	0	0	0
1991	NORT	8.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0
1992	NORT	19.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483	0	0.209	0	0	0	14.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406	0	0	0	0	0	3.463	0.413	0	0	0	0	0	0	0	0	0
1993	NORT	14.619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	13.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446	0	0	0	0	0	0.201	0.391	0	0	0	0	0	0	0	0	0
1994	NORT	6.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	NORT	2.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	2.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0
1996	NORT	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	NORT	4.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.014	0	0	0	0	1.348	0.132	0	0	0	0	0	0	0	0	0	0
1998	NORT	0.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
