Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
1989	COLL	27.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.623	0	0	3.844	0	0	0	0	0	0	0	0	0	2.259	0	0	0	0	0	0	0	0	0	0	0	0.033	6.124	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL	1667.861	0	0	0	0	11.672	0	0	0	0	0	0	0	0	0	0	0	2.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.197	0	0	77.151	0	0	15.103	1494.169	0	0	0	0	0	0	0	0	24.087	0	0	0	0	0	0	0	0	0	0	0	0	36.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0
1991	COLL	1.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	1.415	0	0	0.031	0	0	0	0	0	0	0	0	0	0.161	0	0	0	0	0	0	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL	1487.183	0	0	0	0	200.886	0	0	0	0	0	0	0	0	0	0	0	5.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.072	0	0	168.863	0	0	19.645	787.559	0	0	0	0	0	0	0	0	159.105	0	0	0	0	0	0	0	0	0	0	0	0	114.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL	64.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353	0	0	0	0	0	0	0	10.248	0	0	0	0	0	0	0	0	0	0	0	0	0	4.475	0	0	6.076	0	0	0.345	15.653	0	0	0	0	0	0	0	0	22.935	0	0	0	0	0	0	0	0	0	0	0	0	4.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	COLL	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL	5.554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0	0	0	0	0	0	0	1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.012	0	0	0.092	0.03	0	0	0	0	0	0	0	0	2.618	0	0	0	0	0	0	0	0	0	0	0	0.057	0.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL	1749.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.361	0	0	0	0	0	0	0	0	6.362	0	0	0	0	0	0	0	0	0	23.28	0	0	137.395	0	0	23.889	750.862	0	0	0	0	0	0	0	0	482.124	0	0	0	0	0	0	0	0	0	0	0	0	229.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL	385.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0	58.368	0	0	62.431	0	0	8.873	3.237	0	0	0	0	0	0	0	0	169.124	0	0	0	0	0	0	0	0	0	0	0	0	83.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
