Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
1990	COLL	226.958	0	0	0	0	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	226.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0.262	0.029	0.035	0	0
1991	COLL	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL	13.234	0.504	0	0	0	0	0	0	0	0.008	0	0	0	0.121	0	0	0	0	0.132	0	0.146	0	0	0	12.32	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL	2.395	0	0	0	0	0	0	0	0	0	0	0	0	0.817	0	0	0	0	0.706	0	0	0	0	0	0.606	0	0	0	0	0	0	0	0	0	0	0	0	0.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL	1.242	0	0	0	0	0	0.012	0	0	0	0	0	0	1.209	0	0	0	0	0	0	0.017	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL	14.528	0	0	0	0	0	0	0	0	0.261	0	0	0	0.607	0	0	0.054	0	0.12	0	0.089	0	0	0	13.379	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL	0.802	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0.392	0	0.13	0	0	0	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL	0.424	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0.333	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL	3.428	0	0	0	0	0	0	0	0	0	0	0	0	3.108	0	0	0	0	0	0	0.087	0	0	0	0.01	0	0	0.015	0.163	0	0	0	0	0	0	0	0	0.044	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL	9.114	0.045	0	0	0	0	0	0	0	0.144	0	0	0	0.119	0	0	0	0	0.032	0	0	0	0	0	8.768	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL	84.124	0.22	0	0	0	0	0	0	0	0	0	0	0	31.391	0	0	0	0	0	0	0.729	0	0	0	51.583	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0	0	0.042	0	0	0	0	0	0.073	0	0	0	0	0	0	0
2007	COLL	74.127	2.623	0	0	0	0	0	0	0	0.55	0	0	0	2.782	0	0	0	0	2.648	0	0.599	0	0	0	64.901	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL	0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL1	76.979	0	0	0	0	0	0	0	0	0	0	0	0	11.647	0	0	0	0	0	0	0	0	0	0	65.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0
1991	COLL1	0.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL1	1.421	0.028	0	0	0	0	0	0	0	0.047	0	0	0	0.255	0	0	0	0	0.173	0	0	0	0	0	0.912	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL1	4.299	0	0	0	0	0	0	0	0	0	0	0	0	2.291	0	0	0	0	1.592	0	0.069	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	COLL1	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL1	25.043	0.027	0	0	0	0	0.169	0	0	0	0	0	0.117	23.854	0	0	0	0	0.016	0	0.03	0	0	0.005	0.59	0.046	0	0	0.163	0	0	0	0	0	0	0	0	0.024	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL1	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL1	0.512	0	0	0	0	0	0	0	0	0.367	0	0	0	0.071	0	0	0.005	0	0	0	0.009	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL1	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL1	0.072	0	0	0	0	0	0	0	0	0.002	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0.002	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL1	5.823	0	0	0	0	0	0	0	0	0	0	0	0	5.822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL1	1.937	0	0	0	0	0	0	0	0	0.032	0	0	0	0.009	0	0	0	0	0.008	0	0.011	0	0	0	1.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL1	12.689	0	0	0	0	0	0	0	0	0.321	0	0	0	12.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL1	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL1	68.071	0.322	0	0	0	0	0	0	0	2.455	0	0	0.004	4.652	0	0	0	0.079	0.712	0	0	0	0	0	59.846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL1	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL2	36.879	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	35.781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.525	0.213	0	0	0	0
1991	COLL2	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
