Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
1989	EAST	53.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.754	0.529	0	0	0	0	2.009	0	0	0	0	0	0	0	0	34.84	0	0	0.089	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST	44.423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.316	0.222	0	0	0	0	0.114	0	0	0	0	0	0	0	0	29.619	0	0	0.086	0	0	0	0.015	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
1991	EAST	52.716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.968	0	0	0	0	0	0	0	0	0	0	0	0.045	0.827	0	0	0	0	0	0	0	0	15.357	1.587	0	0	0	0	0.286	0	0	0	0	0	0	0	0	32.59	0	0	0.029	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST	172.528	0	0	0.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.654	0	0	0	0	0	0	0	0	0	0	0	3.591	0	0	0	0	0	0	0	0	0	12.108	10.497	0	0	0	0	5.415	0	0	0	0	0	0	0	0	27.717	0	0	53.456	0	0	0	19.494	0	0	0	0.094	0	0	0	0	0	0	0	0	0	0
1993	EAST	78.445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	38.068	0	0	0	0	0	0	0	0	0	0	0	0.09	1.707	0	0	0	0	0	0	0	0	4.801	12.423	0	0	0	0	2.065	0	0	0	0	0	0	0	0	18.166	0	0	0.681	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	EAST	26.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.964	15.62	0	0	0	0	0.001	0	0	0	0	0	0	0	0	9.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST	97.241	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.024	0	0	0	0	0.002	0	0	0	0	0	0	55.044	0	0	0	0	0	0	0	0	0	0	0	1.953	21.28	0	0	0	0	0	0	0	0	0.473	9.999	0	0	0	0	2.346	0.05	0	0	0	0	0	0	0	5.652	0	0	0.178	0	0	0	0.071	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0
1996	EAST	17.355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329	10.952	0	0	0	0	0	0	0	0	0	0	0	0	0	6.057	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0
1997	EAST	39.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714	10.756	0	0	0	0	0.396	0	0	0	0	0	0	0	0	26.233	0	0	0.112	0	0	0	0	0	0	0	0	0	0.215	0	0	0	0	0	0	0	0
1998	EAST	28.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772	8.821	0	0	0	0	0.163	0	0	0	0	0	0	0	0	18.55	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
