Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
1990	EAST	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.432	0.791	0	0	0	0	0	0	0	0	0	0	0	1.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST	2.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.007	0.03	0	0	0	0	0	0	0	0	0.897	0	0	0	0	0	0.067	0	0	0	0	0	0	1.515	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0
1992	EAST	19.003	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	2.178	14.46	0	0	0	0	0	0	0	0	0	0	0	1.483	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0
1993	EAST	9.018	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0.349	0	0	0	0	0	0	0	0	0.834	3.992	0	0	0	0	0.048	0	0	0	0	0	0	1.164	0	0	0	0	0	0	0	0	0.014	0	0	0	0	2.564	0	0	0	0	0
1994	EAST	23.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414	21.811	0	0	0	0	0	0	0	0	0	0	0	0.978	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0
1995	EAST	11.493	0	0	0	0	0	0	0	0.024	0	0.027	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0.087	1.054	0	0	0	0	0	0	0	0	0.003	9.689	0	0	0	0	0.018	0	0	0	0	0	0	0.458	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0.008	0	0	0	0	0
1996	EAST	18.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	17.764	0	0	0	0	0	0	0	0	0	0	0	0.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST	26.027	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	25.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106	0	0	0	0	0
1998	EAST	19.709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0
1999	EAST	17.352	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.003	0	0	0	0.009	0	0	0	0	0	0.044	17.148	0	0	0	0	0.056	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
