Year	habitat	total	amin	asnu	boin	brru	cach	chbr	chri	chst	cran	crba	crco	crpt	dapu	depi	drcu	erab	erci	erde	erdi	erla	erte	ertr	eumi	evmu	fica	fide	gist	gula	hapa	hehi	lare	lego	lela	libi	lohu	losq	loto	mapa	meal	mobe	negl	pehe	pepl	pere	phcr	phdi	plar	plin	plpa	scba	sian	siir	spec	stmi	vuoc
1983	open	1181	0	0	0	0	0	0	0	3	0	0	0	0	21	0	0	0	50	0	0	49	14	2	0	98	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	91	0	0	0	2	8	0	0	396	330	100	0	0	0	15	0
1984	open	4602	0	0	0	0	0	0	0	55	0	0	0	0	20	0	0	0	47	0	0	72	20	2	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	25	4	0	0	996	1749	1136	0	0	0	12	0
1985	open	843	0	0	0	0	0	0	0	4	0	0	0	0	17	0	2	0	9	0	0	78	5	2	0	115	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	61	0	0	0	4	1	0	0	286	166	82	0	0	0	7	0
1986	open	1144	0	0	0	0	0	0	0	5	0	0	0	0	16	0	0	0	23	0	0	67	7	0	0	179	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	60	0	0	0	41	1	0	0	360	127	175	0	0	0	81	0
1987	open	1204	0	0	0	2	0	0	0	0	0	0	0	0	20	0	2	0	25	0	0	77	9	0	0	36	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	48	0	0	0	101	0	0	0	123	290	360	0	0	0	96	13
1988	open	2498	0	0	1	6	0	0	0	0	0	0	0	0	17	0	0	0	31	0	0	105	19	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	783	79	0	0	325	693	195	0	0	0	110	31
1989	open	852	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	69	14	0	0	36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	42	0	0	0	199	12	0	0	73	138	254	0	0	0	5	0
1990	open	65	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	5	8	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0	8	5	24	0	0	0	0	2
1991	open	325	0	0	1	1	0	0	0	0	0	0	0	0	13	0	1	0	4	0	3	49	23	0	0	29	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	35	0	0	0	13	0	0	0	5	82	60	0	0	0	0	1
1992	open	1941	0	0	1	59	0	1	0	1	0	0	0	0	16	0	3	0	34	0	256	116	20	0	5	62	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	70	0	25	0	55	52	0	0	159	413	549	0	1	0	8	18
