year	site	Total.Of.area	Anethum.graveolens	Bromus.japonicus	Chamaesaracha.spp	Conyza.canadensis	Croton.monanthogynus	Croton.texensis	Euphorbia.dentata	Euphorbia.geyeri	Euphorbia.marginata	Euphorbia.spathulata	Festuca.octoflora	Hedeoma.hispida	Helianthus.annuus	Helianthus.petiolaris	Hordeum.pusillum	Hymenopappus.corymbosus	Kochia.scoparia	Lactuca.ludoviciana	Lactuca.serriola	Leonurus.cardiaca	Lepidium.campestre	Lepidium.densiflorum	Linum.rigidum	Linum.sulcatum	Panicum.capillare	Plantago.patagonica	Plantago.rhodosperma	Polygala.verticillata	Salsola.iberica	Senecio.plattensis	Silene.antirrhina	Solanum.rostratum	Stenosiphon.linifolius	Tragopogon.pratensis
34	kansas	5.606799534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.606799534	0	0	0	0	0	0	0	0	0
35	kansas	8.14795876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.14795876	0	0	0	0
36	kansas	2.631390572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.362026093	0	0	0	0	0	0	0	0	0	0	3.90075505	0	0	0	0	0	0	0	0
37	kansas	3.934661968	0	0	0	0	0	0	0	0	0	0	7.707148003	0.959673563	0	0	0	0	0	0	0	0	0	8.557064362	0	0	0	0.714984076	0	0	0	0	0.726824939	0	0	0
38	kansas	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
39	kansas	0.726036409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726036409	0	0	0	0	0
40	kansas	1.563007862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71268559	0	0	0	0.733075023	0	0	0.73307164	0	0
41	kansas	0.714124894	0	0	0	0	0.725583008	0	0.687389294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	kansas	0.693841339	0	0	0	0	0.693841339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	kansas	0.728679609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728679609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	kansas	0.710128725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70826754	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713851094	0	0	0	0
45	kansas	0.740533113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740533113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
