year	site	Total.Of.area	Allium.drummondii	Allium.spp_	Ambrosia.psilostachya	Ambrosia.spp_	Arenaria.stricta	Asclepias.pumila	Asclepias.viridiflora	Asclepias.viridis	Aster.ericoides	Aster.fendleri	Aster.oblongifolius	Astragalus.mollissimus	Brickellia.eupatorioides	Callirhoe.involucrata	Calylophus.lavandulifolius	Calylophus.serrulatus	Castilleja.sessiliflora	Chamaesyce.polygonifolia	Chamaesyce.spp_	Chamaesyce.stictospora	Chenopodium.album	Chenopodium.leptophyllum	Cirsium.ochrocentrum	Cirsium.undulatum	Comandra.umbellata	Dalea.candida	Dalea.purpurea	Echinacea.angustifolia	Echinacea.pallida	Erigeron.strigosus	Erysimum.asperum	Evolvulus.nuttallianus	Gaura.coccinea	Grindelia.squarrosa	Haplopappus.spinulosus	Hedeoma.drummondii	Hedyotis.nigricans	Helianthus.maximiliani	Hybanthus.verticillatus	Hymenoxys.scaposa	Lesquerella.ovalifolia	Leucelene.ericoides	Liatris.punctata	Lithospermum.incisum	Lomatium.macrocarpum	Megapterium.fremontii	Mentzelia.decapetala	Mentzelia.oligosperma	Mirabilis.linearis	Oenothera.macrocarpa	Onosmodium.molle	Oxalis.spp_	Oxalis.stricta	Oxytropis.lambertii	Paronychia.jamesii	Penstemon.albidus	Polygala.alba	Polygala.spp_	Psoralea.cuspidata	Psoralea.tenuiflora	Ratibida.columnifera	Salvia.azurea	Schrankia.uncinata	Scutellaria.resinosa	Solidago.glaberrima	Solidago.mollis	Solidago.rigida	Solidago.spp_	Sphaeralcea.coccinea	Thelesperma.megapotamicum	Townsendia.exscapa	Tragia.ramosa	Verbena.bipinnatifida	Verbena.bracteata	Vicia.americana
32	kansas	2.324246593	0	0	2.441253017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500778139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22255445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	kansas	4.664037637	0	0	4.972136975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.775480116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.290536297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.358367086	0	0	0	0	0	0	0	0	3.901700962	2.909106673	0	0	0	0	0
35	kansas	7.94095055	3.114423321	2.417888065	7.643133971	0	35.4724083	0	0	0	5.597960353	0	0	0	0	3.41657495	22.74390187	2.54912174	0	0	0	0	3.85484445	0	0	12.95806638	0	0	3.625968575	7.450407237	11.27121887	0	0	3.526078434	8.1268643	0	0	0	7.554337579	0	0	27.34518844	6.245431576	12.4704973	9.017435817	4.22413242	0	0	0	0	0	0	0	0	0	0	7.038471394	0	0	0	0	8.198994055	0	0	3.18330789	14.18158034	0	10.00748937	0	0	4.68460348	7.650251641	8.67375851	2.69240302	0	0	0
36	kansas	5.557469326	2.587946816	0	6.371551943	0	10.13889909	0	0	0	11.56018292	0	0	0	0	0	0	6.16600108	0	0	0	0	0	0	0	6.528533851	0	0	3.734714286	0	6.618278711	0	0	3.956663367	0	0	0	0	2.50948477	0	0	12.91627222	4.714774825	7.25306066	3.384950173	0	0	0	0	0	0	0	0	0	0	0	4.431667951	0	0	0	0	9.413383957	0	0	3.35573852	8.52709293	0	10.19505478	0	0	2.419073534	4.059717143	0	2.51960635	0	0	0
37	kansas	1.259302632	0	0	7.406826579	0	0	0	0	0	0.72734201	0.713169175	0.722804427	0	1.853694675	0	1.85369205	0.715216458	0	0	0	0	0	0	0	0	0	0	1.85370111	0.699810738	0	0	3.928924255	0.71521157	0	0	0	0	0	0	0	0.719319552	1.635956836	0.72098805	0.715736866	1.85369074	0	0	0	0	0.728550434	0	0	0	0	0	0.699081145	0	0	0	0	0.699812144	0	0	0.699806511	0	0	0	0	0	0.809042227	0.699810907	0	0.731737077	0	0	0
38	kansas	1.411920552	0	0	0.719482459	0	0	0	0	0	0.685006917	3.016065955	1.481343885	0	0	0	1.86489081	0.696218908	0	0	0	0	0	0	0	0	0	0	1.86488175	1.343120955	0	0	2.238781094	0.696224869	0.699365854	0	0	0	0	0	0	1.120058631	0	1.080525715	3.09379727	0	0	0	0	0	0.733851433	0	0	0	0	0	1.846118103	0	0	0	0	4.76688766	0	0	0	0	0	0	0	0	0.791637116	1.481079672	0	2.51237035	0	0	0
39	kansas	1.027878359	0	0	0	0	0	0	0	0	0.721718833	2.249294962	13.5449715	0	0	0	1.85203397	0.704998791	0	0	0	0	0	0	0	0	0	0	1.8520391	0	0.719718039	0	0.720722497	0.702500165	0.718136132	0	0.721827686	0	0	0	0	1.287860422	0	0.719517489	0.728023986	0	0	0	0	0	0.726456881	0	0	0	0	0	1.161593348	0	0	0	0	0.706914609	0	0	0.700076491	0	0	0	0	0	0.785807671	1.069181328	0	0	0	0	0
40	kansas	0.90664626	0	0	0.751439687	0	0	0	0	0	0	0.737931967	0	0	1.88139653	0	0	0.730307281	0	0	0	0	0	0	0	0	0	0	1.88139653	0.94488473	1.09734404	0	1.092891879	0.737007479	0.800437753	0	0.719663739	0	0	0	0.70306623	0.703064054	0.723529518	0.721377842	1.312734801	0.703058481	0	0	0.725697378	0.744217455	1.419119705	0	0	0	0	0	0.736645132	0	0	0	0	0.717997823	0	0	0.72096473	1.88140047	0	0	0	0	0.742341974	0.947425235	0	0.737002313	0.733889788	0	0
41	kansas	0.723058963	0	0	0.706083641	0	1.82250106	0	0	0	0.708979344	0.732878134	0.718337238	0	0	0	1.83000076	0.710078716	0	0	0	0	0	0	0	0	0	0	1.068621359	0.69163239	0	0	0	0.700712601	0.721377747	0	0.725339741	0.718331039	0	0	0	0.935002612	0	0.703001816	1.266193152	0	0	0	0	0	0	0	0	0	0	0	0.792256754	0.703374207	0	0	0	0.713329483	0.71255444	0	0.69755276	0	0	0.648893699	0	0	0.701800841	0.720401917	0	0.712458591	0.703380823	0	0
42	kansas	1.885509971	0	0	0.721756215	0	1.433582575	0	0	0	0.717210931	0.702526525	16.80356731	0	0	0	0	0	0	0	0	0	0	0	0	1.85279012	0	0	0	0.77707393	0	0	0	0.689680934	1.733310299	0	0.759390235	0.685159624	0	0	0	0.685162246	0	35.15698448	0.693591118	0	0	0	0	0	0	0	0	0	0	0	7.386656629	0	0	0	0	1.145057112	0.827993442	0	0.68967247	1.088396967	0	0.937651095	0	0	0.71558655	0.746562219	0	0.688169619	0	0	0
