year	site	Total.Of.area	Agropyron.smithii	Andropogon.gerardii	Aristida.longiseta	Aristida.purpurea	Bouteloua.curtipendula	Bouteloua.gracilis	Bouteloua.hirsuta	Buchloe.dactyloides	Carex.gravida	Carex.heliophila	Carex.praegracilis	Carex.spp_	Chloris.verticillata	Chloris.virgata	Elymus.canadensis	Muhlenbergia.cuspidata	Panicum.virgatum	Poa.arachnifera	Schedonnardus.paniculatus	Schizachyrium.scoparium	Short.grass	Sitanion.hystrix	Sorghastrum.nutans	Sporobolus.asper	Sporobolus.cryptandrus	Sporobolus.neglectus	Tridens.flavus
32	kansas	131.8539122	0	352.2469945	0	0	2.071138384	0	50.12511255	0	0	0	0	0	0	0	0	0	0	0	0	279.003819	151.2047402	0	0	0	0	0	0
33	kansas	929.1915988	0	981.9593177	0	0	0	0	0	1369.247864	0	0	0	0	0	0	0	0	0	0	0	812.8040223	1949.406109	0	0	0	0	0	0
34	kansas	136.6428589	15.3656254	226.893092	0	18.12143266	150.0688831	32.87135281	30.4419667	129.924399	0	0	0	0	0	0	0	0	0	0	0	108.1254425	296.8787404	0	7.907132385	0	14.97760623	0	0
35	kansas	35.36575966	0	30.29212358	0	18.05091856	32.77453242	25.31552405	14.23553156	29.46927305	0	0	0	0	0	0	0	0	0	0	11.54348271	28.32827035	52.07298844	23.3456955	0	12.39147029	11.46627254	0	0
36	kansas	15.3575254	0	15.88201498	0	19.14182392	11.87053992	12.50600091	23.95931758	7.32384589	0	2.441230135	1.476529507	0	0	0	0	0	3.30848217	0	45.53484418	12.92765749	1038.527958	4.89463091	0	12.81146685	24.43926246	0	0
37	kansas	23.00202692	0	15.36447266	0	41.67301292	21.01931053	29.48719051	21.1218066	18.04395176	0	0.707866907	0.726813614	0	0	0	0	0	0	0	21.6660347	13.63358137	15.55765127	0	0	21.34593225	36.155667	0	0
38	kansas	39.16298858	0	19.44053372	7.62415504	0	39.00722723	52.78568151	54.64519443	27.22650218	0	0	0	0	0	0	0	0	8.206196073	0	22.0521755	31.79316626	0	0	0	42.1305061	36.38278071	0	0
39	kansas	31.67248564	0	14.08430512	0	0	27.32974263	42.41589436	42.15394383	24.12073956	0	0	0	0	0	0	0	0	2.264463507	0	53.5585403	17.16870266	0	0	0	36.42327588	44.4782761	0	0
40	kansas	30.02170014	0	5.84637102	0	0	17.43985662	37.53011194	15.38957375	27.34872237	0	0	0	0	0	0	0	0	4.925266881	0	0	7.110369695	0	0	0	26.23412506	28.0526505	0	0
41	kansas	64.68982462	0	20.13849389	6.76267576	0	46.64654777	70.84730001	20.1461909	74.75285328	0	0	0	0	0	0	0	0	46.03418193	0	10.97734735	27.16668675	0	0	0	27.6173748	16.71127571	0	0
42	kansas	292.298781	0	52.01164005	0	0	133.5089189	351.0347035	55.64986759	505.8415023	0	0	0	0	0	0	0	0	200.9819089	0	0	86.52156603	0	0	0	44.82440964	59.45047058	57.15866755	0
43	kansas	206.0227418	0	36.53870841	31.3701115	0	97.19983373	188.1293204	27.30944879	475.1076168	0	0	0	0	0	0	0	0	38.67564868	0	38.66244197	65.80265158	0	0	0	31.71712533	44.67599787	0	0
44	kansas	240.9963399	0	40.91546959	19.495904	35.4553871	130.5619627	160.9715674	47.4609826	776.7212681	0	0	0	0	0	0	0	20.50461067	13.32695584	0	22.60143355	95.07303497	0	6.934776112	0	36.20146512	38.73694508	0	0
45	kansas	152.1509862	0	92.44454782	33.65135095	34.2635269	50.94076158	102.0404097	37.2638685	514.3238101	4.72686195	0	0	0	0	0	0	0	28.73942949	0	15.33228636	85.24776837	0	0	0	27.98323868	33.56369441	0	0
46	kansas	167.158114	0	99.77966116	76.1389616	34.6635399	57.47802904	97.83904817	36.57324694	529.6555874	0	0	0	0	0	0	0	0	16.91054752	0	21.5685234	89.44022027	0	0	0	32.51476023	22.84276277	0	0
