year	site	Total.Of.area	Agropyron.smithii	Allium.drummondii	Allium.spp_	Ambrosia.psilostachya	Ambrosia.spp_	Andropogon.gerardii	Arenaria.stricta	Aristida.longiseta	Aristida.purpurea	Asclepias.pumila	Asclepias.viridiflora	Asclepias.viridis	Aster.ericoides	Aster.fendleri	Aster.oblongifolius	Astragalus.mollissimus	Bouteloua.curtipendula	Bouteloua.gracilis	Bouteloua.hirsuta	Brickellia.eupatorioides	Buchloe.dactyloides	Callirhoe.involucrata	Calylophus.lavandulifolius	Calylophus.serrulatus	Carex.gravida	Carex.heliophila	Carex.praegracilis	Carex.spp_	Castilleja.sessiliflora	Chamaesyce.polygonifolia	Chamaesyce.spp_	Chamaesyce.stictospora	Chenopodium.album	Chenopodium.leptophyllum	Chloris.verticillata	Chloris.virgata	Cirsium.ochrocentrum	Cirsium.undulatum	Comandra.umbellata	Dalea.candida	Dalea.purpurea	Echinacea.angustifolia	Echinacea.pallida	Elymus.canadensis	Erigeron.strigosus	Erysimum.asperum	Evolvulus.nuttallianus	Gaura.coccinea	Grindelia.squarrosa	Haplopappus.spinulosus	Hedeoma.drummondii	Hedyotis.nigricans	Helianthus.maximiliani	Hybanthus.verticillatus	Hymenoxys.scaposa	Lesquerella.ovalifolia	Leucelene.ericoides	Liatris.punctata	Lithospermum.incisum	Lomatium.macrocarpum	Megapterium.fremontii	Mentzelia.decapetala	Mentzelia.oligosperma	Mirabilis.linearis	Muhlenbergia.cuspidata	Oenothera.macrocarpa	Onosmodium.molle	Oxalis.spp_	Oxalis.stricta	Oxytropis.lambertii	Panicum.virgatum	Paronychia.jamesii	Penstemon.albidus	Poa.arachnifera	Polygala.alba	Polygala.spp_	Psoralea.cuspidata	Psoralea.tenuiflora	Ratibida.columnifera	Salvia.azurea	Schedonnardus.paniculatus	Schizachyrium.scoparium	Schrankia.uncinata	Scutellaria.resinosa	Short.grass	Sitanion.hystrix	Solidago.glaberrima	Solidago.mollis	Solidago.rigida	Solidago.spp_	Sorghastrum.nutans	Sphaeralcea.coccinea	Sporobolus.asper	Sporobolus.cryptandrus	Sporobolus.neglectus	Thelesperma.megapotamicum	Townsendia.exscapa	Tragia.ramosa	Tridens.flavus	Verbena.bipinnatifida	Verbena.bracteata	Vicia.americana
32	kansas	127.375934	0	0	0	2.441253017	0	352.2469945	0	0	0	0	0	0	0	0	0	0	2.071138384	0	50.12511255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500778139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22255445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.003819	0	0	151.2047402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	kansas	929.1915988	0	0	0	0	0	981.9593177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1369.247864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812.8040223	0	0	1949.406109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	kansas	129.1837094	15.3656254	0	0	4.972136975	0	226.893092	0	0	18.12143266	0	0	0	0	0	0	0	150.0688831	32.87135281	30.4419667	0	129.924399	0	0	0	0	0	0	0	0	0	0	0	5.775480116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.290536297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.358367086	0	0	0	108.1254425	0	0	296.8787404	0	0	0	0	0	7.907132385	3.901700962	0	14.97760623	0	2.909106673	0	0	0	0	0	0
35	kansas	31.93765852	0	3.114423321	2.417888065	7.643133971	0	30.29212358	35.4724083	0	18.05091856	0	0	0	5.597960353	0	0	0	32.77453242	25.31552405	14.23553156	0	29.46927305	3.41657495	22.74390187	2.54912174	0	0	0	0	0	0	0	0	3.85484445	0	0	0	0	12.95806638	0	0	3.625968575	7.450407237	11.27121887	0	0	0	3.526078434	8.1268643	0	0	0	7.554337579	0	0	27.34518844	6.245431576	12.4704973	9.017435817	4.22413242	0	0	0	0	0	0	0	0	0	0	0	0	7.038471394	0	0	0	0	0	8.198994055	0	0	11.54348271	28.32827035	3.18330789	14.18158034	52.07298844	23.3456955	0	10.00748937	0	0	0	4.68460348	12.39147029	11.46627254	0	7.650251641	8.67375851	2.69240302	0	0	0	0
36	kansas	14.8819993	0	2.587946816	0	6.371551943	0	15.88201498	10.13889909	0	19.14182392	0	0	0	11.56018292	0	0	0	11.87053992	12.50600091	23.95931758	0	7.32384589	0	0	6.16600108	0	2.441230135	1.476529507	0	0	0	0	0	0	0	0	0	0	6.528533851	0	0	3.734714286	0	6.618278711	0	0	0	3.956663367	0	0	0	0	2.50948477	0	0	12.91627222	4.714774825	7.25306066	3.384950173	0	0	0	0	0	0	0	0	0	0	0	0	3.30848217	4.431667951	0	0	0	0	0	9.413383957	0	0	45.53484418	12.92765749	3.35573852	8.52709293	1038.527958	4.89463091	0	10.19505478	0	0	0	2.419073534	12.81146685	24.43926246	0	4.059717143	0	2.51960635	0	0	0	0
37	kansas	22.2473545	0	0	0	7.406826579	0	15.36447266	0	0	41.67301292	0	0	0	0.72734201	0.713169175	0.722804427	0	21.01931053	29.48719051	21.1218066	1.853694675	18.04395176	0	1.85369205	0.715216458	0	0.707866907	0.726813614	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85370111	0.699810738	0	0	0	3.928924255	0.71521157	0	0	0	0	0	0	0	0.719319552	1.635956836	0.72098805	0.715736866	1.85369074	0	0	0	0	0.728550434	0	0	0	0	0	0	0	0.699081145	0	0	0	0	0	0.699812144	0	0	21.6660347	13.63358137	0.699806511	0	15.55765127	0	0	0	0	0	0	0.809042227	21.34593225	36.155667	0	0.699810907	0	0.731737077	0	0	0	0
38	kansas	37.82886878	0	0	0	0.719482459	0	19.44053372	0	7.62415504	0	0	0	0	0.685006917	3.016065955	1.481343885	0	39.00722723	52.78568151	54.64519443	0	27.22650218	0	1.86489081	0.696218908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86488175	1.343120955	0	0	0	2.238781094	0.696224869	0.699365854	0	0	0	0	0	0	1.120058631	0	1.080525715	3.09379727	0	0	0	0	0	0.733851433	0	0	0	0	0	0	8.206196073	1.846118103	0	0	0	0	0	4.76688766	0	0	22.0521755	31.79316626	0	0	0	0	0	0	0	0	0	0.791637116	42.1305061	36.38278071	0	1.481079672	0	2.51237035	0	0	0	0
39	kansas	30.77387451	0	0	0	0	0	14.08430512	0	0	0	0	0	0	0.721718833	2.249294962	13.5449715	0	27.32974263	42.41589436	42.15394383	0	24.12073956	0	1.85203397	0.704998791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8520391	0	0.719718039	0	0	0.720722497	0.702500165	0.718136132	0	0.721827686	0	0	0	0	1.287860422	0	0.719517489	0.728023986	0	0	0	0	0	0.726456881	0	0	0	0	0	0	2.264463507	1.161593348	0	0	0	0	0	0.706914609	0	0	53.5585403	17.16870266	0.700076491	0	0	0	0	0	0	0	0	0.785807671	36.42327588	44.4782761	0	1.069181328	0	0	0	0	0	0
40	kansas	27.77076368	0	0	0	0.751439687	0	5.84637102	0	0	0	0	0	0	0	0.737931967	0	0	17.43985662	37.53011194	15.38957375	1.88139653	27.34872237	0	0	0.730307281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88139653	0.94488473	1.09734404	0	0	1.092891879	0.737007479	0.800437753	0	0.719663739	0	0	0	0.70306623	0.703064054	0.723529518	0.721377842	1.312734801	0.703058481	0	0	0.725697378	0.744217455	1.419119705	0	0	0	0	0	0	4.925266881	0.736645132	0	0	0	0	0	0.717997823	0	0	0	7.110369695	0.72096473	1.88140047	0	0	0	0	0	0	0	0.742341974	26.23412506	28.0526505	0	0.947425235	0	0.737002313	0	0.733889788	0	0
41	kansas	54.29988107	0	0	0	0.706083641	0	20.13849389	1.82250106	6.76267576	0	0	0	0	0.708979344	0.732878134	0.718337238	0	46.64654777	70.84730001	20.1461909	0	74.75285328	0	1.83000076	0.710078716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.068621359	0.69163239	0	0	0	0	0.700712601	0.721377747	0	0.725339741	0.718331039	0	0	0	0.935002612	0	0.703001816	1.266193152	0	0	0	0	0	0	0	0	0	0	0	0	46.03418193	0.792256754	0.703374207	0	0	0	0	0.713329483	0.71255444	0	10.97734735	27.16668675	0.69755276	0	0	0	0	0.648893699	0	0	0	0.701800841	27.6173748	16.71127571	0	0.720401917	0	0.712458591	0	0.703380823	0	0
