year,site,total,Ambr arte,Amsi inte,Amsi tess,Andr occi,Astr allo,Astr nutt,Astr spp_,Bail mult,Brom rube,Caly wrig,Chae stev,Chen frem,Chor tene,Cryp cras,Cryp micr,Cryp sp_3,Cryp sp_4,D_ sp2,Dale brac,Delp sp_,Desc pinn,Desc sp2,Dich pulc*,Dith wisl,Eria diff,Erig dive,Erio aber,Erio lemm,Erod cicu,Erod texa,Esch mexi,Gili sinu,Hapl grac,Hoff dens*,Lapp redo,Lepi lasi,Lesq gord,Lina bige,Lina sp_,Lina texa,Linanthus_sp_,Lupi cocc,Lupi sp_,Lupi sp_2,Mala fend,Micr lene,Nama hisp,Oeno prim,Oeno sp_,Pani hirt,Pech?,Pect sp 1,Pect sp_,Phac ariz,Plag ariz,Plan purs,Rume sp*,Schi barb,Sisy irio,Sper echi,Step exig,unk grass,unk1,unk2,unk3,unk4,unk5,Unkn must,Unkn sp_,Verb ence,Vulp octo
1978,Portal,32972,0,0,0,0,0,0,0,407,0,0,0,0,0,16,2067,0,0,0,0,0,705,0,0,0,1574,198,27505,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Portal,8294,0,0,0,0,0,0,0,283,0,0,0,0,0,0,426,0,0,0,0,0,1725,0,0,0,1450,1286,2495,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Portal,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1981,Portal,5918,0,0,0,0,2,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,-9,42,4746,0,960,2,0,65,0,0,0,0,1,0,0,0,0,0,2,0,91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Portal,28209,0,0,0,0,13,0,0,58,0,0,5,0,0,145,357,0,0,0,0,0,1511,0,10,0,3793,49,20222,0,108,3,0,405,152,14,0,40,31,0,0,0,0,0,2,0,925,17,0,0,4,0,0,0,0,259,0,2,2,0,0,82,0,0,0,0,0,0,0,0,0,0,0
1983,Portal,41319.6,0,0,0,0,23,44,0,71,0,0,10,0,0,241,1237.6,0,0,0,0,0,2613,0,104,0,14140,74,18534,0,449,8,108,687,66,33,0,94,59,0,0,0,0,0,3,0,1860,60,0,0,80,0,0,0,0,328,0,64,4,0,0,318,7,0,0,0,0,0,0,0,0,0,0
1984,Portal,107672,0,0,0,0,127,89,0,918,0,0,147,0,0,1476,2817,0,0,0,0,0,1522,0,67,0,85422,1578,1192,0,4708,27,2,2536,414,10,0,42,884,0,0,0,0,0,216,0,823,176,0,0,16,0,0,0,0,98,0,1255,210,0,0,850,50,0,0,0,0,0,0,0,0,0,0
1985,Portal,31338,0,0,0,0,40,86,0,1374,0,0,90,0,0,539,981,0,0,0,0,0,1281,0,48,0,17899,380,1143,0,2536,47,4,369,1858,0,0,21,232,0,0,0,0,0,5,0,671,202,0,0,16,0,0,0,0,25,0,643,104,0,0,533,211,0,0,0,0,0,0,0,0,0,0
1986,Portal,16731,0,0,0,0,14,180,0,992,0,0,207,0,0,85,327,0,0,0,0,0,183,0,17,0,2171,566,1280,0,719,77,138,13,8652,0,0,20,142,0,0,0,0,0,2,0,93,19,0,0,0,0,0,0,0,7,0,412,0,0,0,374,41,0,0,0,0,0,0,0,0,0,0
1987,Portal,57705,0,0,0,0,52,444,0,1177,0,0,430,0,0,163,2166,0,0,0,0,0,1096,0,68,0,7213,1766,6340,0,2653,121,43,448,28568,52,0,52,229,0,0,0,0,0,177,0,628,194,0,0,68,0,0,0,0,211,0,1633,74,0,0,1348,291,0,0,0,0,0,0,0,0,0,0
