year	site	Total.Of.count	Achillea.millefolium	Achnatherum.hymenoides	Achnatherum.nelsonii	Adenostegia.ramosa	Antennaria.microphylla	Artemisia.tridentata	Artemisia.tripartita	Aster.spp_	Astragalus.lentiginosus	Bromus.tectorum	Camissonia.andina	Castilleja.angustifolia	Chenopodium.album	Chenopodium.inamoenum	Chenopodium.spp_	Chrysothamnus.viscidiflorus	Collinsia.parviflora	Comandra.umbellata	Cordylanthus.ramosus	Crepis.acuminata	Crucifer	Cryptantha.affinis	Cryptantha.ambigua	Cryptantha.spp_	Descurainia.pinnata	Descurainia.spp_	Draba.spp_	Draba.verna	Erigeron.engelmannii	Erigeron.spp_	Eriogonum.microthecum	Gayophytum.diffusum	Gayophytum.spp_	Gilia.tweedyi	Gutierrezia.sarothrae	Hackelia.patens	Hesperostipa.comata	Koeleria.macrantha	Lactuca.serriola	Lactuca.spp_	Lappula.occidentalis	Lappula.sp_	Lepidium.densiflorum	Lepidium.spp_	Leptosiphon.liniflorus	Lewisia.rediviva	Linanthus.pungens	Lithospermum.ruderale	Lomatium.macrocarpum	Lomatium.sp_	Lupinus.caudatus	Nassella.viridula	Navarretia.breweri	Orobanche.ludoviciana	Orobanche.sp_	Phlox.multiflora	Phlox.stansburyi	Poa.cusickii	Poa.secunda	Polygonum.buxiforme	Polygonum.douglasii	Polygonum.engelmannii	Polygonum.spp_	Pseudoroegneria.spicata	Salsola.tragus	Sphaerostigma.andinum	Tetradymia.canescens	Thlaspi.arvense	Tragopogon.dubius	Tragopogon.spp_	unknown.annual	unknown.annual.mustard	Viola.praemorsa
31	SGS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	SGS	5238	6	10.2	0	6	1.333333333	0	23.41666667	5	3.571428571	10.5	36.8	1	1	4.928571429	0	1	0	0	17.5	7.25	0	0	0	0	1	0	0	0	0	3.5	2	18.1	0	0	3.4	0	0	5	0	0	29.70833333	0	2.666666667	0	0	0	28.6	0	0	3.5	3	31.75	0	0	0	3.4	2.428571429	6.4	8.5	3.8	0	0	0	81.65384615	0	48	4.4	0	0	0	3	0	1.5
33	SGS	610	0	0	1	0	0	5	6.5	0	3	15	0	0	1.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2.25	0	9.5	42.75	0	0	1.5	0	0	0	0	0	4.857142857	0	0	0	0	0	8.666666667	0	0	3	0	0	0	0	0	1.5	1.5	0	0	5.333333333	0	0	0	10.64285714	0	11	1.666666667	0	0	0	0	0	0
34	SGS	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	SGS	3028	0	0	0	0	0	0	0	0	0	10.85714286	66.33333333	0	0	16.47619048	0	0	3.6	0	14.84	0	0	0	0	10	1.25	0	0	0	0	0	0	8.5	0	0	0	0	0	0	0	0	32.52	0	0	4.714285714	33.44444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.08333333	0	0	0	4.5	42.4	0	0	0	0	32.25	1	0
36	SGS	6714	0	0	0	0	0	0	0	0	0	38.25	14.5	0	64	10.54545455	0	0	12.6	0	17.94444444	490	0	0	0	7.25	5	0	0	0	0	0	0	34.66666667	0	42	0	0	162	0	0	0	80.04761905	0	2	6.5	184.4285714	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	39.66666667	0	0	70	0	187.1428571	0	0	0	0	47	0	0
37	SGS	732	0	0	0	0	0	0	0	0	0	22	1.5	0	0	4.333333333	0	0	4.5	0	6	0	0	0	0	5.75	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	22.66666667	0	0	0	15.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.44444444	0	0	0	0	16.25	0	0	0	0	0	0	0
38	SGS	1041	0	0	0	0	0	0	0	0	0	7.666666667	8.5	0	0	12.15384615	0	0	0	0	12.36363636	0	0	0	0	0	0	0	0	0	0	0	0	15.83333333	0	0	0	0	0	0	0	0	4.357142857	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.91666667	0	0	0	0	26.5	0	0	0	0	1	0	0
39	SGS	310	0	0	0	0	0	0	0	0	0	24.33333333	2	0	0	11.33333333	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75	0	0	0	0	0	0	0	0	0	0	0	0
40	SGS	449	0	0	0	0	0	0	0	0	0	13.25	3	0	0	3.625	0	0	0	0	5.333333333	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2.363636364	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.41666667	0	0	0	0	28	0	0	0	0	7	0	0
41	SGS	1661	0	0	0	0	0	0	0	0	0	60.42857143	4	0	0	1.25	0	0	0	0	3.25	0	0	0	0	3.5	1	5	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	11.625	0	2.4	0	4.75	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	88.33333333	0	0	0	0	29.2	0	0	0	0	1	0	0
42	SGS	3160	0	0	0	0	0	0	0	0	0	297.4444444	19.45454545	0	0	1.6	0	0	0	0	3.333333333	0	0	0	12	2.666666667	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5.461538462	0	2	0	5.666666667	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
43	SGS	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
45	SGS	2968	0	0	0	0	0	0	0	0	0	173.1818182	35.22222222	0	0	0	0	0	8.25	0	4.6	0	0	7	24	21	0	0	0	0	0	0	0	9.5	0	0	0	7.5	0	0	0	6.666666667	7.3	0	7	0	9.666666667	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	30.38461538	0	0	0	4	0	0	0	0	0	1	0	0
46	SGS	451	0	0	0	0	0	0	0	0	0	14.72727273	11	0	0	0	1	0	3.909090909	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19.33333333	0	0	0	0	0	0	0	0	0	2	0	0
47	SGS	405	0	0	0	0	0	0	0	0	0	24.18181818	0	0	0	0	3.166666667	0	2.125	0	1.285714286	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2.4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.714285714	0	0	0	0	0	0	0	0	0	2	0	0
48	SGS	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
49	SGS	82	0	0	0	0	0	0	0	0	0	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
50	SGS	316	0	0	0	0	0	0	0	0	0	30.625	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	1	2.125	0	0
51	SGS	535	0	0	0	0	0	0	0	0	0	70.83333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	10.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	1.5	0	0
52	SGS	1119	0	0	0	0	0	0	0	0	0	29.27272727	0	0	0	4.454545455	0	0	0	0	17.83333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.181818182	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7.416666667	0	0	0	5	0	0	0	0	2	34.36363636	0	0
