year	site	Total.Of.area	Achnatherum.hymenoides	Antennaria.rosea	Antennaria.spp_	Carex.douglasii	Carex.spp_	Elymus.albicans	Elymus.elymoides	Elymus.trachycaulus	Hesperostipa.comata	Hordeum.jubatum	Koeleria.macrantha	Poa.secunda	Pseudoroegneria.spicata	unknown.grass
26	SGS	1.61E-03	0.007468323	0	0.008409517	4.46529E-05	0	0.000152159	0	0	0.0903933	0	0.035918911	0.057103027	0.218467314	0.005192286
27	SGS	1.23E-03	0.006742981	0	0.002506137	0	0	0.000195676	0	0	0.043082598	0	0.002509987	0.019230025	0.165213439	0.000177279
28	SGS	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01
29	SGS	6.05E-04	0.007183357	0	0.002374838	0	0.000025	0.000668519	0	0	0.054748424	0	0.013018187	0.0201656	0.122670933	0
30	SGS	4.33E-04	0.017891301	0	8.40E-04	0.000525177	0.000759079	0.000383381	0	0	0.160543492	0.000424687	0.026318433	0.044993522	0.387720947	0
31	SGS	4.42E-04	0.022659206	0	0.012778068	0.000312635	0.000432175	0.00062361	0	0	0.178651187	0	0.036444355	0.04604904	0.418123642	0
32	SGS	7.04E-04	0.063933039	0	0.03245339	0.001300786	0.001150926	0.013509689	0	0	0.269311696	0	0.057273814	0.140395142	0.671833814	0
33	SGS	5.39E-04	0.039781587	0	0.071353456	0.006277882	0.000400271	0.020964331	0.000573937	0	0.242788737	0	0.069357468	0.119120842	0.708700934	0
34	SGS	2.68E-04	0.026666884	0	0.024976401	0.00267743	0.000125	7.94E-03	0.000419393	0	0.169903258	0	3.12E-02	7.17E-02	0.401444282	0
35	SGS	2.72E-04	0.030323212	0	0.03036705	4.14E-03	0	0.00901954	0	0	0.160027105	0	0.039573483	9.43E-02	0.39436887	0
36	SGS	1.52E-04	0.017212322	0	0.020758707	3.42E-03	0	0.01042996	0	0	0.128283066	0	2.52E-02	7.53E-02	0.401720938	0
37	SGS	2.53E-04	0.023451578	0	0.014054097	3.40E-03	0	7.71E-03	0.000296487	0.00E+00	0.149104663	0.00E+00	0.033618163	8.84E-02	0.395988793	0.00E+00
38	SGS	2.44E-04	0.029764251	0	0.008050717	4.83E-03	0	9.46E-03	0.000269365	0.00E+00	0.15054742	0.00E+00	0.040049077	9.31E-02	0.4453884	0.00E+00
39	SGS	3.20E-04	4.37E-02	0	0.011940831	5.65E-03	0.00E+00	0.010405937	0.000344402	0	0.160208694	0	5.82E-02	0.122621482	0.502508889	0
40	SGS	2.46E-04	3.81E-02	0	0.010296135	6.94E-03	0.00E+00	7.88E-03	0.000110258	0.00E+00	0.140742024	0.00E+00	0.046337852	0.108587901	0.444369789	0
41	SGS	1.56E-04	0.029294228	0	0.01287426	7.13E-03	0	6.54E-03	0.000315643	0.00E+00	0.131318605	0.00E+00	4.01E-02	0.111784494	0.3206341	0
42	SGS	1.03E-04	0.027641423	0	0.019552664	7.29E-03	0	7.34E-03	0.000141698	0.00E+00	9.47E-02	0.00005	2.84E-02	0.119969845	0.199924323	0
43	SGS	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01	-9.90E+01
45	SGS	1.94E-04	3.81E-02	0	0.02866782	6.79E-03	0.00E+00	5.63E-03	0.00015	6.28219E-05	0.206252087	0.00005	6.74E-02	0.295874709	0.242486031	0
46	SGS	3.17E-04	4.37E-02	0	0.063463515	5.68E-03	0.00E+00	9.31E-03	0.000075	0.00E+00	0.32611491	0.00E+00	0.127565472	0.311168407	0.300164531	0
47	SGS	3.37E-04	0.038572566	0	0.053965996	7.17E-03	0.00E+00	1.50E-02	0.000218471	0.00E+00	0.345902006	0.00E+00	0.131249307	0.359594984	0.329534424	0
