Group,Site,Intercept,Slope
Birds,easternwood,NA,NA
Birds,easternwood,NA,NA
Birds,easternwood,0.011125073,-133.9960135
Birds,easternwood,NA,NA
Birds,easternwood,NA,NA
Birds,easternwood,0.040236143,-29.40892939
Birds,easternwood,0.009214648,-70.8914262
Birds,easternwood,0.009496547,-99.6371918
Birds,easternwood,NA,NA
Birds,easternwood,0.007990234,-75.14823784
Birds,easternwood,0.014098029,-43.39771958
Birds,easternwood,NA,NA
Birds,easternwood,0.008103286,-127.5091423
Birds,easternwood,0.008319345,-78.05694199
Birds,easternwood,0.029157569,-27.85462031
Birds,easternwood,0.076348716,-12.68417922
Birds,easternwood,0.097042327,-8.463030762
Birds,easternwood,0.026243908,-50.8765004
Birds,easternwood,0.015995236,-71.66070076
Birds,easternwood,0.007231827,-147.5659396
Birds,easternwood,0.009974319,-89.90710707
Birds,easternwood,0.023413025,-35.36856155
Birds,easternwood,0.013112615,-60.29780707
Birds,easternwood,0.107611023,-13.53620259
Birds,easternwood,0.010073984,-175.6515767
Birds,easternwood,0.031648435,-39.72965882
Birds,easternwood,0.060476205,-14.51349061
Birds,easternwood,NA,NA
Birds,easternwood,0.200387224,-5.339458277
Birds,easternwood,0.021343537,-49.4015355
Birds,easternwood,0.013977992,-56.1268698
Birds,easternwood,0.007019652,-158.7423493
Birds,easternwood,NA,NA
Birds,easternwood,0.039904898,-30.12656059
Birds,easternwood,0.019554147,-52.15582691
Birds,easternwood,0.008666001,-170.8785531
Birds,easternwood,NA,NA
Birds,easternwood,0.019760526,-61.98458982
Birds,easternwood,0.040081416,-29.3666843
Birds,easternwood,NA,NA
Birds,easternwood,NA,NA
Birds,easternwood,NA,NA
Birds,easternwood,0.01481903,-53.13079648
Birds,easternwood,0.034634393,-27.2219476
Birds,easternwood,NA,NA
Birds,elverde,0.016874865,-53.96214386
Birds,elverde,0.036710176,-32.24785749
Birds,elverde,0.104237009,-9.613224374
Birds,elverde,0.015566216,-46.53094255
Birds,elverde,0.100579303,-9.392344389
Birds,elverde,NA,NA
Birds,elverde,0.015186049,-20.57655594
Birds,elverde,0.012711594,-41.86496484
Birds,elverde,0.03334463,-25.96706648
Birds,elverde,0.076280744,-17.48338491
Birds,elverde,0.064752303,-13.90779347
Birds,elverde,0.022887585,-34.95856717
Birds,elverde,0.078566059,-22.93434284
Birds,elverde,0.097501877,-11.31691282
Birds,elverde,0.073420186,-8.845340728
Birds,elverde,0.045557362,-23.40385594
Birds,elverde,0.064101814,-15.54824735
Birds,elverde,0.036172481,-29.35758647
Birds,elverde,0.09823647,-13.4651648
Birds,hubbard,0.032264538,-32.77264005
Birds,hubbard,0.030976094,-39.00484607
Birds,hubbard,0.027227439,-44.99754573
Birds,hubbard,0.028789463,-25.55727067
Birds,hubbard,0.023088969,-50.16750561
Birds,hubbard,NA,NA
Birds,hubbard,0.032934225,-49.83033561
Birds,hubbard,0.027472392,-36.34460168
Birds,hubbard,0.033121819,-23.67392344
Birds,hubbard,0.045971722,-30.46201739
Birds,hubbard,0.037442505,-22.44656727
Birds,hubbard,0.045828279,-34.20778619
Birds,hubbard,0.013668767,-63.30887014
Birds,hubbard,0.024192933,-38.92781354
Birds,hubbard,0.089399601,-12.44609757
Birds,hubbard,0.065041074,-19.47870673
Birds,hubbard,0.078523031,-24.08053355
Birds,hubbard,0.026330525,-37.68805266
Birds,hubbard,0.038532624,-24.61867761
Birds,hubbard,0.069109588,-17.31334532
Birds,hubbard,0.097217209,-17.07013047
Birds,hubbard,0.042086611,-18.99318112
Birds,hubbard,0.042571332,-24.65292561
Birds,hubbard,0.019875033,-46.82129937
Birds,hubbard,0.013843473,-79.2918225
Birds,konza_birds,0.020210313,-43.25252469
Birds,konza_birds,0.023663419,-46.42829199
Birds,konza_birds,0.017798137,-41.97797817
Birds,konza_birds,0.017357112,-79.29738565
Birds,konza_birds,0.011639542,-150.6093074
Birds,konza_birds,0.009241661,-66.37327537
Birds,konza_birds,0.026884406,-45.16686142
Birds,konza_birds,0.009452981,-118.3340737
Birds,konza_birds,0.003788802,-226.615758
Birds,konza_birds,0.025808985,-49.67622298
Birds,konza_birds,0.010589539,-100.4560799
Birds,konza_birds,0.005625566,-159.9344014
Birds,konza_birds,0.023268208,-50.69111397
Birds,konza_birds,0.005716938,-170.6176279
Birds,konza_birds,0.030699878,-47.41426222
Birds,konza_birds,0.027497259,-49.56798438
Birds,konza_birds,0.007726315,-125.1778356
Birds,konza_birds,0.007172454,-181.6804858
Birds,konza_birds,0.011842518,-71.74605595
Birds,konza_birds,0.017607,-65.68473763
Birds,konza_birds,0.012056375,-109.3994684
Birds,konza_birds,0.031212511,-46.00383569
Birds,konza_birds,0.015771304,-60.30854994
Birds,konza_birds,0.02122824,-49.45400995
Birds,konza_birds,0.01760652,-72.74532597
Birds,konza_birds,0.028095255,-49.34869483
Birds,konza_birds,0.006195924,-142.4808278
Birds,konza_birds,0.017021958,-85.92334276
Birds,konza_birds,0.019691262,-68.61302055
Birds,konza_birds,0.006028589,-157.4391474
Birds,konza_birds,0.027283219,-49.16935688
Birds,konza_birds,0.006088951,-207.9118987
Birds,konza_birds,0.031171277,-43.9504455
Birds,konza_birds,0.014235643,-77.98823917
Birds,konza_birds,0.023376373,-28.9218266
Birds,konza_birds,0.008422033,-144.1989008
