Group,Site,Observed S,Persistent S,T,% increase in Pattern,Pattern,Null Pattern,p-val
Birds,easternwood,45,30,31,2.218939125,0.009649806,0.004348838,0.5394
Birds,elverde,19,16,20,-2.249834541,-0.206488643,0.091779479,0.1108
Birds,hubbard,25,24,42,-5.940314408,-0.388109162,0.065334785,0.0014
Birds,konza_songbirds,68,64,29,-1.398862691,-0.125722276,0.089874637,0.0834
Birds,konza_waterfowl,7,3,29,-1.051465896,-0.401641741,0.381982661,0.1928
Birds,mountainbird_maine,28,21,11,-1.344722473,-0.29942648,0.222667863,0.2564
Birds,mountainbird_ny,36,28,11,2.569847744,0.684356507,0.266302355,0.9108
Birds,mountainbird_vt,38,34,11,-0.37473889,-0.314575548,0.839452634,0.088
Birds,pawnee_birds,25,22,9,-0.923653171,-0.065670689,0.071098862,0.491
Birds,pawnee_raptors,5,3,9,0.068858744,0.036421782,0.528934746,0.4402
Birds,redvers,13,13,26,-1.474578889,-0.339847509,0.23047089,0.0026
Birds,skokholm,16,9,52,-92.18762095,-1.098332821,0.011914103,0.0062
Birds,texas,14,11,16,-0.732233817,-0.406147814,0.554669566,0.01
Birds,whitemountain,23,20,15,-2.743443123,-0.28248505,0.102967343,0.0106
Fish,hinkleyflatfish,9,5,17,10.74536389,-0.744654082,-0.069300034,0.083
Fish,hinkleygadoidfish,14,8,17,-1.150551356,-0.491276326,0.426992089,0.0122
Fish,northseademersal,7,7,24,0.096684565,0.10389088,1.074534284,0.0138
Fish,northseaflatfish,11,11,24,2.001907018,1.225255802,0.612044311,0.98
Fish,northseagadoid,9,9,24,1.650291399,0.504108864,0.305466577,0.753
Fish,northseapelagic,3,3,24,-1.068628285,-1.438193379,1.345831286,0.0138
Herps,boldparklizards,19,14,7,0.105249777,0.054909642,0.521707918,0.4848
Herps,boldparksnakes,7,3,7,0.013854352,0.018796492,1.356721118,0.3198
Herps,coweetasalamanders,4,4,15,-25.69592597,0.179778257,-0.006996372,0.9026
Herps,cowleylizards,6,4,15,0.261180445,0.246556755,0.944009249,0.606
Herps,cowleysnakes,16,7,15,1.459503751,0.531516128,0.364175924,0.8604
Herps,esgeorgeturtles,3,2,18,0.074444743,0.017758061,0.238540158,0.279
Herps,fitchsnakes,3,3,58,1.2625975,0.090426127,0.071619124,0.5998
Herps,luquillo,3,3,4,0.346314031,0.374785415,1.082212621,0.273
Herps,orabandalizards,42,25,4,3.265687205,1.529545344,0.4683686,0.9324
Herps,orabandasnakes,9,5,4,0.504827885,0.42095833,0.83386505,0.83
Herps,rainbowfrogs,13,13,16,33.5018389,2.459568489,0.073415925,0.9994
Invertebrates,cacoastmolluscs,8,7,66,0.195914198,0.433769999,2.214081482,0.3184
Invertebrates,hubbardleps,5,4,12,-2.057016257,-1.83869098,0.893863125,0
