"Group","Site","Observed.S","Persistent.S","T","X..increase.in.Pattern","Pattern","Null.Pattern","p.val","q.val","sigcat","Srat","Pdiff"
"Birds","easternwood",45,30,31,2.218939125,0.009649806,0.004348838,0.5394,0.605172809770863,"Nonsignificant",0.666666666666667,0.005300968
"Birds","elverde",19,16,20,-2.249834541,-0.206488643,0.091779479,0.1108,0.239455913231507,"Nonsignificant",0.842105263157895,-0.298268122
"Birds","hubbard",25,24,42,-5.940314408,-0.388109162,0.065334785,0.0014,0.0155335134297114," Significant",0.96,-0.453443947
"Birds","konza_songbirds",68,64,29,-1.398862691,-0.125722276,0.089874637,0.0834,0.191585114915312,"Nonsignificant",0.941176470588235,-0.215596913
"Birds","konza_waterfowl",7,3,29,-1.051465896,-0.401641741,0.381982661,0.1928,0.353946132882148,"Nonsignificant",0.428571428571429,-0.783624402
"Birds","mountainbird_maine",28,21,11,-1.344722473,-0.29942648,0.222667863,0.2564,0.421491699950966,"Nonsignificant",0.75,-0.522094343
"Birds","mountainbird_ny",36,28,11,2.569847744,0.684356507,0.266302355,0.9108,0.721302532041836,"Nonsignificant",0.777777777777778,0.418054152
"Birds","mountainbird_vt",38,34,11,-0.37473889,-0.314575548,0.839452634,0.088,0.200038345482927,"Nonsignificant",0.894736842105263,-1.154028182
"Birds","pawnee_birds",25,22,9,-0.923653171,-0.065670689,0.071098862,0.491,0.582501934139828,"Nonsignificant",0.88,-0.136769551
"Birds","pawnee_raptors",5,3,9,0.068858744,0.036421782,0.528934746,0.4402,0.555726927760218,"Nonsignificant",0.6,-0.492512964
"Birds","redvers",13,13,26,-1.474578889,-0.339847509,0.23047089,0.0026,0.023438962228761," Significant",1,-0.570318399
"Birds","skokholm",16,9,52,-92.18762095,-1.098332821,0.011914103,0.0062,0.0367053257449805," Significant",0.5625,-1.110246924
"Birds","texas",14,11,16,-0.732233817,-0.406147814,0.554669566,0.01,0.0440221028372388," Significant",0.785714285714286,-0.96081738
"Birds","whitemountain",23,20,15,-2.743443123,-0.28248505,0.102967343,0.0106,0.0448477313807232," Significant",0.869565217391304,-0.385452393
"Fish","hinkleyflatfish",9,5,17,10.74536389,-0.744654082,-0.069300034,0.083,0.1908884060364,"Nonsignificant",0.555555555555556,-0.675354048
