Group,site,species,intercept,slope,Persistence,Mean,Median
Birds,easternwood,Mandarin,NA,NA,0.2,0.233333333,0
Birds,easternwood,Sparrowhawk,NA,NA,0.366666667,0.366666667,0
Birds,easternwood,Pheasant,0.025988086,-0.229929246,0.566666667,1,1
Birds,easternwood,Woodcock,NA,NA,0.4,0.4,0
Birds,easternwood,StockDove,NA,NA,0.166666667,0.166666667,0
Birds,easternwood,Woodpigeon,0.03665731,-0.467960766,1,6.666666667,5
Birds,easternwood,TurtleDove,0.00782632,-0.544029333,0.566666667,0.966666667,1
Birds,easternwood,Cuckoo,0.008158865,-1.391405515,0.866666667,1.333333333,1
Birds,easternwood,TawnyOwl,NA,NA,0.933333333,0.933333333,1
Birds,easternwood,GreenWoodpecker,0.007001489,-0.429347195,0.8,1.1,1
Birds,easternwood,GreatSpottedWoodpecker,0.014139016,-0.920810442,1,2.366666667,2
Birds,easternwood,LesserSpottedWoodpecker,NA,NA,0.566666667,0.633333333,1
Birds,easternwood,CarrionCrow,0.007659752,-0.763875335,1,1.333333333,1
Birds,easternwood,Magpie,0.008144833,-0.780782294,0.966666667,1.366666667,1
Birds,easternwood,Jay,0.02833047,-0.637585293,1,4.8,5
Birds,easternwood,GreatTit,0.076899236,-0.629340789,1,12.73333333,12
Birds,easternwood,BlueTit,0.099417181,-0.577495536,0.966666667,16.18965517,16
Birds,easternwood,CoalTit,0.023572039,-0.403614126,1,4.4,4
Birds,easternwood,MarshTit,NA,NA,1,2.666666667,2.5
Birds,easternwood,WillowTit,NA,NA,0.833333333,0.966666667,1
Birds,easternwood,Long.tailedTit,0.01017598,-0.709370743,0.9,1.533333333,2
Birds,easternwood,Nuthatch,0.021314572,-0.841969,0.966666667,3.633333333,4
Birds,easternwood,Treecreeper,0.011389911,-1.051128831,0.966666667,2.033333333,2
Birds,easternwood,Wren,0.094013579,-0.638212194,1,18.28333333,17.5
Birds,easternwood,MistleThrush,0.009559939,-0.562179451,0.733333333,1.266666667,1.5
Birds,easternwood,SongThrush,0.031851526,-0.99676967,1,5.333333333,5
Birds,easternwood,Blackbird,0.060324989,-1.236959718,1,10.08333333,10.5
Birds,easternwood,Nightingale,0.004667667,1.103308091,0.233333333,0.266666667,0
Birds,easternwood,Robin,0.197336252,-1.154408892,1,33.03333333,33
Birds,easternwood,Blackcap,0.019651667,-0.858905418,1,3.5,3
Birds,easternwood,GardenWarbler,0.013173623,-0.282472969,0.866666667,2.166666667,2
Birds,easternwood,Whitethroat,0.008758147,-0.764543822,0.5,0.633333333,0.5
Birds,easternwood,LesserWhitethroat,NA,NA,0.066666667,0.066666667,0
Birds,easternwood,WillowWarbler,0.015326009,-0.195950549,0.866666667,5.816666667,2.25
Birds,easternwood,Chiffchaff,0.017684794,-0.7137451,1,3.3,3
Birds,easternwood,Goldcrest,0.008639524,-1.407568847,0.366666667,0.6,0
Birds,easternwood,SpottedFlycatcher,NA,NA,0.233333333,0.233333333,0
Birds,easternwood,Dunnock,0.01669584,-0.643685666,0.9,2.948275862,2
Birds,easternwood,Starling,0.038127561,-0.562752175,0.7,4.516666667,5.75
Birds,easternwood,Hawfinch,NA,NA,0.1,0.1,0
Birds,easternwood,Greenfinch,NA,NA,0.1,0.1,0
Birds,easternwood,Redpoll,NA,NA,0.066666667,0.1,0
Birds,easternwood,Bullfinch,0.014207062,-0.751470915,0.966666667,2.4,2
Birds,easternwood,Chaffinch,0.023024278,-0.246510605,1,5.683333333,5.75
Birds,easternwood,HouseSparrow,NA,NA,0.066666667,0.066666667,0
Birds,elverde,AmericaRedstart,0.003972112,-0.651964042,0.3,1.5,0
Birds,elverde,BluehoodedEuphonia,0.00735409,-0.758333352,0.8,3.05,2
Birds,elverde,Bananaquit,0.284512554,0.153411712,1,87.8,57.5
Birds,elverde,BlackthroatedBlueWarbler,0.007901183,-1.68668259,0.25,1.5,0
Birds,elverde,BlackwhiskeredVireo,0.201229985,-1.31864004,1,77.3,75.5
Birds,elverde,BlackandWhiteWarbler,NA,NA,0.25,0.6,0
Birds,elverde,GrayKingbird,NA,NA,0.25,0.6,0
Birds,elverde,ParulaWarbler,0.005886184,-12.4790325,0.15,0.55,0
Birds,elverde,PearlyeyedThrasher,0.01262341,-0.560553498,0.5,7.45,0.5
Birds,elverde,PuertoRicanBullfinch,0.041200902,-0.634191696,1,15.55,14.5
Birds,elverde,PuertoRicoLizardCuckoo,0.01972224,-0.991174183,1,8.1,7
Birds,elverde,PuertoRicanFlycatcher,0.006431428,-1.392683036,0.5,1.5,0.5
Birds,elverde,PuertoRicanTanager,0.05898403,-0.435511372,1,29.55,22.5
Birds,elverde,PuertoRicanTody,0.072734366,-0.456619647,1,34.55,23.5
Birds,elverde,PuertoRicanWoodpecker,0.036802014,-0.350286594,1,18.35,15.5
Birds,elverde,RedleggedThrush,0.012278952,-0.807243008,1,7.9,4.5
Birds,elverde,RuddyQuailDove,0.017058964,-0.749993164,1,9.3,6.5
Birds,elverde,StripeheadedTanager,0.014779864,-0.247168275,0.75,4.3,2
Birds,elverde,ScalynapedPigeon,0.188172199,-1.678328466,1,78.9,78
Birds,hubbard,Yellow.b.Sapsucker,0.023226156,-0.602828984,1,2.964285714,3
Birds,hubbard,Hairy.Woodpecker,0.014683368,-0.451579917,0.976190476,1.914634146,2
Birds,hubbard,Downy.Woodpecker,0.016358299,-0.989242755,0.666666667,2.096774194,2
Birds,hubbard,Least.Flycatcher,0.923689974,0.150042053,0.380952381,9.512195122,0
Birds,hubbard,Black.c..Chickadee,0.009461658,-0.233427233,0.619047619,1.566666667,1.5
Birds,hubbard,Brown.Creeper,0.008166457,-0.489636043,0.452380952,0.797297297,0.5
Birds,hubbard,White.br..Nuthatch,0.012853001,-0.625252514,0.857142857,1.918918919,2
Birds,hubbard,Winter.Wren,0.011144163,-0.775580761,0.690476191,1.307692308,1
Birds,hubbard,Wood.thrush,0.019054346,-0.43058619,0.476190476,2.1375,0.25
Birds,hubbard,Hermit.thrush,0.029730215,-0.474705351,0.976190476,3.761904762,3.75
Birds,hubbard,Veery,0.018281155,-0.441727302,0.761904762,2,2
Birds,hubbard,Swainsons.thrush,0.026981208,-0.534961084,0.738095238,3.581081081,2.5
Birds,hubbard,Philadelphia.Vireo,0.019347428,-0.517510083,0.333333333,1.261904762,0
Birds,hubbard,Solitary.Vireo,0.017707949,-0.609087637,0.476190476,1.138888889,0.5
Birds,hubbard,Red.eyed.Vireo,0.19721865,-0.131456511,1,22.11904762,22
Birds,hubbard,Bk..thr..Green.Warbler,0.13695229,-0.080202829,1,12.51190476,12.75
Birds,hubbard,Bk..thr..Blue.Warbler,0.088166484,-0.456187037,1,10.02380952,10.25
Birds,hubbard,Yellow.r..Warbler,0.020454589,-0.893555333,0.5,1.125,0.75
Birds,hubbard,Blackburnian.Warbler,0.021648875,-0.524227733,0.833333333,2.575,2
Birds,hubbard,Ovenbird,0.115028984,-0.208040963,1,12.52380952,11
Birds,hubbard,American.Redstart,0.064458019,-0.173041329,0.976190476,16.7195122,13
Birds,hubbard,Scarlet.tanager,0.024755118,-0.481294368,1,3.321428571,3
Birds,hubbard,Rose.br..Grosbeak,0.030541956,-0.789661702,0.904761905,4.197368421,4
Birds,hubbard,Dark.eyed.Junco,0.024939824,-1.214124511,0.30952381,1.341463415,0
Birds,hubbard,Purple.Finch,0.014467185,-1.637165091,0.095238095,0.282051282,0
Birds,konza_songbirds,AmericanCrow,0.005719494,-0.388481398,0.928571429,9.107142857,7.5
Birds,konza_songbirds,AmericanGoldfinch,0.01514514,-0.461017961,0.964285714,19.67857143,14.5
Birds,konza_songbirds,AmericanRobin,0.010031566,-1.066641999,0.892857143,45.64285714,5.5
Birds,konza_songbirds,AmericanTreeSparrow,0.017745179,-1.152758838,0.678571429,28.75,11.5
Birds,konza_songbirds,BaltimoreOriole,0.003328708,-0.910428439,0.892857143,4.714285714,3.5
Birds,konza_songbirds,BarnSwallow,0.002912971,-0.900981033,0.571428571,2.75,1.5
Birds,konza_songbirds,BellsVireo,0.029480204,-0.241662869,0.964285714,24.85714286,22
Birds,konza_songbirds,BewicksWren,0.002998777,-0.971076473,0.714285714,2.928571429,3
Birds,konza_songbirds,BlackandwhiteWarbler,0.002450419,-2.031568049,0.321428571,1,0
Birds,konza_songbirds,BlackcappedChickadee,0.015968032,-0.719649572,1,29.96428571,21.5
Birds,konza_songbirds,BluegrayGnatcatcher,0.011514783,-0.43366018,0.821428571,11.71428571,8
Birds,konza_songbirds,BlueGrosbeak,0.007083846,-0.246026546,0.5,2.785714286,1
Birds,konza_songbirds,BlueJay,0.015405186,-0.366009992,0.964285714,27.28571429,17
Birds,konza_songbirds,BrownCreeper,0.00459026,-0.624064224,0.428571429,1.75,0
Birds,konza_songbirds,BrownheadedCowbird,0.109840542,-0.623655504,0.964285714,129.0714286,132
Birds,konza_songbirds,BrownThrasher,0.023782106,-0.607851662,0.964285714,28.14285714,28
